date,store,dept,sales,store_id,item_category
2020-03-28,2,4,698,8,Electronics
2020-03-29,1,1,667,2,Food
2020-03-30,2,2,212,8,Electronics
2020-03-31,1,3,465,3,Electronics
2020-04-01,2,4,194,7,Food
2020-04-02,1,1,995,2,Electronics
2020-04-03,2,2,711,7,Food
2020-04-04,1,3,802,2,Electronics
2020-04-05,2,4,499,7,Food
2020-04-06,1,1,331,7,Electronics
2020-04-07,2,2,173,7,Clothing
2020-04-08,1,3,894,8,Electronics
2020-04-09,2,4,440,6,Clothing
2020-04-10,1,1,151,2,Food
2020-04-11,2,2,147,8,Food
2020-04-12,1,3,322,8,Electronics
2020-04-13,2,4,822,1,Clothing
2020-04-14,1,1,451,6,Clothing
2020-04-15,2,2,930,6,Clothing
2020-04-16,1,3,235,9,Clothing
2020-04-17,2,4,197,8,Clothing
2020-04-18,1,1,934,3,Electronics
2020-04-19,2,2,703,6,Electronics
2020-04-20,1,3,587,4,Food
2020-04-21,2,4,447,1,Electronics
2020-04-22,1,1,527,8,Electronics
2020-04-23,2,2,511,3,Food
2020-04-24,1,3,799,8,Clothing
2020-04-25,2,4,579,2,Electronics
2020-04-26,1,1,769,4,Food
2020-04-27,2,2,949,1,Clothing
2020-04-28,1,3,608,1,Electronics
2020-04-29,2,4,944,9,Electronics
2020-04-30,1,1,285,2,Electronics
2020-05-01,2,2,790,3,Electronics
2020-05-02,1,3,470,5,Food
2020-05-03,2,4,250,3,Food
2020-05-04,1,1,317,7,Clothing
2020-05-05,2,2,707,8,Electronics
2020-05-06,1,3,796,8,Electronics
2020-05-07,2,4,519,2,Clothing
2020-05-08,1,1,496,4,Electronics
2020-05-09,2,2,871,9,Food
2020-05-10,1,3,255,5,Food
2020-05-11,2,4,300,1,Electronics
2020-05-12,1,1,284,7,Electronics
2020-05-13,2,2,538,6,Clothing
2020-05-14,1,3,232,3,Clothing
2020-05-15,2,4,899,8,Clothing
2020-05-16,1,1,338,4,Clothing
2020-05-17,2,2,290,9,Clothing
2020-05-18,1,3,259,1,Electronics
2020-05-19,2,4,237,9,Food
2020-05-20,1,1,887,5,Electronics
2020-05-21,2,2,444,2,Clothing
2020-05-22,1,3,912,6,Food
2020-05-23,2,4,311,5,Food
2020-05-24,1,1,179,4,Food
2020-05-25,2,2,755,6,Clothing
2020-05-26,1,3,704,8,Clothing
2020-05-27,2,4,236,1,Clothing
2020-05-28,1,1,906,8,Electronics
2020-05-29,2,2,259,2,Electronics
2020-05-30,1,3,969,1,Clothing
2020-05-31,2,4,513,6,Food
2020-06-01,1,1,901,1,Clothing
2020-06-02,2,2,110,8,Clothing
2020-06-03,1,3,167,9,Food
2020-06-04,2,4,998,4,Electronics
2020-06-05,1,1,180,5,Clothing
2020-06-06,2,2,120,6,Food
2020-06-07,1,3,907,8,Electronics
2020-06-08,2,4,592,8,Electronics
2020-06-09,1,1,165,5,Clothing
2020-06-10,2,2,863,7,Food
2020-06-11,1,3,518,1,Food
2020-06-12,2,4,922,4,Clothing
2020-06-13,1,1,736,1,Clothing
2020-06-14,2,2,562,3,Clothing
2020-06-15,1,3,200,1,Electronics
2020-06-16,2,4,306,2,Food
2020-06-17,1,1,625,2,Food
2020-06-18,2,2,766,7,Food
2020-06-19,1,3,245,4,Clothing
2020-06-20,2,4,136,3,Clothing
2020-06-21,1,1,753,8,Food
2020-06-22,2,2,857,8,Clothing
2020-06-23,1,3,265,6,Clothing
2020-06-24,2,4,475,7,Clothing
2020-06-25,1,1,938,7,Clothing
2020-06-26,2,2,425,3,Electronics
2020-06-27,1,3,875,1,Electronics
2020-06-28,2,4,435,5,Clothing
2020-06-29,1,1,585,7,Clothing
2020-06-30,2,2,560,1,Food
2020-07-01,1,3,373,3,Food
2020-07-02,2,4,738,9,Food
2020-07-03,1,1,247,4,Clothing
2020-07-04,2,2,351,7,Electronics
2020-07-05,1,3,111,4,Electronics
2020-07-06,2,4,940,6,Electronics
2020-07-07,1,1,676,4,Food
2020-07-08,2,2,873,4,Clothing
2020-07-09,1,3,565,6,Food
2020-07-10,2,4,483,2,Electronics
2020-07-11,1,1,237,6,Electronics
2020-07-12,2,2,786,3,Clothing
2020-07-13,1,3,554,8,Food
2020-07-14,2,4,733,8,Clothing
2020-07-15,1,1,493,9,Food
2020-07-16,2,2,735,6,Electronics
2020-07-17,1,3,318,5,Food
2020-07-18,2,4,994,3,Clothing
2020-07-19,1,1,438,4,Clothing
2020-07-20,2,2,349,6,Electronics
2020-07-21,1,3,787,7,Clothing
2020-07-22,2,4,566,4,Clothing
2020-07-23,1,1,747,4,Clothing
2020-07-24,2,2,284,5,Food
2020-07-25,1,3,554,6,Electronics
2020-07-26,2,4,694,3,Electronics
2020-07-27,1,1,857,8,Electronics
2020-07-28,2,2,414,2,Food
2020-07-29,1,3,752,4,Electronics
2020-07-30,2,4,253,9,Clothing
2020-07-31,1,1,133,4,Food
2020-08-01,2,2,729,3,Clothing
2020-08-02,1,3,432,7,Clothing
2020-08-03,2,4,664,9,Electronics
2020-08-04,1,1,697,9,Food
2020-08-05,2,2,875,9,Food
2020-08-06,1,3,593,2,Electronics
2020-08-07,2,4,657,5,Electronics
2020-08-08,1,1,400,1,Electronics
2020-08-09,2,2,693,9,Food
2020-08-10,1,3,660,2,Clothing
2020-08-11,2,4,380,9,Clothing
2020-08-12,1,1,618,7,Food
2020-08-13,2,2,120,2,Food
2020-08-14,1,3,382,8,Food
2020-08-15,2,4,106,8,Food
2020-08-16,1,1,856,6,Clothing
2020-08-17,2,2,382,3,Electronics
2020-08-18,1,3,424,6,Electronics
2020-08-19,2,4,498,9,Clothing
2020-08-20,1,1,109,8,Electronics
2020-08-21,2,2,825,3,Clothing
2020-08-22,1,3,691,3,Clothing
2020-08-23,2,4,108,6,Food
2020-08-24,1,1,342,8,Food
2020-08-25,2,2,358,4,Electronics
2020-08-26,1,3,971,4,Clothing
2020-08-27,2,4,253,9,Clothing
2020-08-28,1,1,128,2,Clothing
2020-08-29,2,2,480,5,Food
2020-08-30,1,3,354,7,Electronics
2020-08-31,2,4,854,9,Electronics
2020-09-01,1,1,131,9,Clothing
2020-09-02,2,2,246,7,Electronics
2020-09-03,1,3,716,2,Food
2020-09-04,2,4,196,8,Electronics
2020-09-05,1,1,766,2,Food
2020-09-06,2,2,711,3,Electronics
2020-09-07,1,3,879,9,Electronics
2020-09-08,2,4,393,7,Electronics
2020-09-09,1,1,959,7,Food
2020-09-10,2,2,482,7,Clothing
2020-09-11,1,3,496,7,Clothing
2020-09-12,2,4,777,8,Food
2020-09-13,1,1,397,2,Electronics
2020-09-14,2,2,224,8,Clothing
2020-09-15,1,3,889,7,Electronics
2020-09-16,2,4,681,8,Electronics
2020-09-17,1,1,437,6,Food
2020-09-18,2,2,719,4,Clothing
2020-09-19,1,3,879,2,Food
2020-09-20,2,4,762,8,Food
2020-09-21,1,1,208,3,Food
2020-09-22,2,2,213,4,Electronics
2020-09-23,1,3,346,4,Electronics
2020-09-24,2,4,940,3,Food
2020-09-25,1,1,245,5,Clothing
2020-09-26,2,2,314,9,Electronics
2020-09-27,1,3,179,3,Food
2020-09-28,2,4,612,5,Food
2020-09-29,1,1,741,2,Food
2020-09-30,2,2,826,9,Food
2020-10-01,1,3,626,1,Electronics
2020-10-02,2,4,805,2,Food
2020-10-03,1,1,625,3,Clothing
2020-10-04,2,2,921,4,Clothing
2020-10-05,1,3,780,3,Electronics
2020-10-06,2,4,438,3,Clothing
2020-10-07,1,1,437,5,Clothing
2020-10-08,2,2,124,1,Food
2020-10-09,1,3,369,1,Clothing
2020-10-10,2,4,481,6,Food
2020-10-11,1,1,812,2,Electronics
2020-10-12,2,2,940,3,Food
2020-10-13,1,3,630,3,Clothing
2020-10-14,2,4,827,8,Electronics
2020-10-15,1,1,121,6,Food
2020-10-16,2,2,617,7,Electronics
2020-10-17,1,3,365,5,Food
2020-10-18,2,4,944,2,Electronics
2020-10-19,1,1,502,1,Food
2020-10-20,2,2,734,8,Clothing
2020-10-21,1,3,487,9,Food
2020-10-22,2,4,113,4,Clothing
2020-10-23,1,1,830,3,Electronics
2020-10-24,2,2,590,5,Clothing
2020-10-25,1,3,430,4,Clothing
2020-10-26,2,4,702,6,Electronics
2020-10-27,1,1,743,4,Clothing
2020-10-28,2,2,608,1,Food
2020-10-29,1,3,144,2,Electronics
2020-10-30,2,4,525,3,Clothing
2020-10-31,1,1,343,8,Clothing
2020-11-01,2,2,434,1,Clothing
2020-11-02,1,3,296,1,Food
2020-11-03,2,4,622,1,Food
2020-11-04,1,1,122,9,Food
2020-11-05,2,2,604,3,Electronics
2020-11-06,1,3,177,1,Electronics
2020-11-07,2,4,822,8,Food
2020-11-08,1,1,673,7,Electronics
2020-11-09,2,2,707,9,Electronics
2020-11-10,1,3,330,2,Food
2020-11-11,2,4,402,9,Clothing
2020-11-12,1,1,746,8,Clothing
2020-11-13,2,2,540,9,Clothing
2020-11-14,1,3,197,4,Clothing
2020-11-15,2,4,518,9,Electronics
2020-11-16,1,1,637,5,Food
2020-11-17,2,2,796,1,Clothing
2020-11-18,1,3,638,2,Electronics
2020-11-19,2,4,634,6,Food
2020-11-20,1,1,236,9,Electronics
2020-11-21,2,2,762,4,Food
2020-11-22,1,3,505,5,Electronics
2020-11-23,2,4,797,7,Clothing
2020-11-24,1,1,388,3,Food
2020-11-25,2,2,570,6,Electronics
2020-11-26,1,3,294,6,Electronics
2020-11-27,2,4,610,5,Clothing
2020-11-28,1,1,441,6,Clothing
2020-11-29,2,2,258,5,Electronics
2020-11-30,1,3,136,4,Electronics
2020-12-01,2,4,250,8,Clothing
2020-12-02,1,1,102,9,Food
2020-12-03,2,2,903,7,Clothing
2020-12-04,1,3,923,5,Clothing
2020-12-05,2,4,232,4,Electronics
2020-12-06,1,1,597,6,Electronics
2020-12-07,2,2,784,9,Food
2020-12-08,1,3,900,4,Electronics
2020-12-09,2,4,290,8,Food
2020-12-10,1,1,710,6,Food
2020-12-11,2,2,801,8,Food
2020-12-12,1,3,778,8,Clothing
2020-12-13,2,4,715,4,Clothing
2020-12-14,1,1,759,4,Food
2020-12-15,2,2,735,4,Food
2020-12-16,1,3,257,5,Clothing
2020-12-17,2,4,965,3,Electronics
2020-12-18,1,1,460,9,Food
2020-12-19,2,2,444,4,Electronics
2020-12-20,1,3,461,9,Electronics
2020-12-21,2,4,350,3,Clothing
2020-12-22,1,1,683,7,Clothing
2020-12-23,2,2,116,9,Food
2020-12-24,1,3,843,9,Electronics
2020-12-25,2,4,646,6,Electronics
2020-12-26,1,1,281,6,Food
2020-12-27,2,2,695,9,Clothing
2020-12-28,1,3,351,7,Electronics
2020-12-29,2,4,279,6,Food
2020-12-30,1,1,773,8,Food
2020-12-31,2,2,227,9,Food
2021-01-01,1,3,774,4,Food
2021-01-02,2,4,283,1,Food
2021-01-03,1,1,326,4,Clothing
2021-01-04,2,2,739,6,Food
2021-01-05,1,3,417,5,Clothing
2021-01-06,2,4,976,5,Clothing
2021-01-07,1,1,776,4,Electronics
2021-01-08,2,2,291,7,Electronics
2021-01-09,1,3,108,5,Electronics
2021-01-10,2,4,739,2,Electronics
2021-01-11,1,1,298,3,Electronics
2021-01-12,2,2,706,5,Clothing
2021-01-13,1,3,560,2,Clothing
2021-01-14,2,4,424,3,Electronics
2021-01-15,1,1,511,4,Food
2021-01-16,2,2,257,5,Food
2021-01-17,1,3,414,7,Electronics
2021-01-18,2,4,327,8,Clothing
2021-01-19,1,1,580,2,Food
2021-01-20,2,2,813,6,Clothing
2021-01-21,1,3,980,9,Electronics
2021-01-22,2,4,215,4,Electronics
2021-01-23,1,1,352,8,Food
2021-01-24,2,2,255,3,Food
2021-01-25,1,3,313,3,Electronics
2021-01-26,2,4,327,2,Food
2021-01-27,1,1,159,5,Electronics
2021-01-28,2,2,508,6,Clothing
2021-01-29,1,3,123,5,Clothing
2021-01-30,2,4,719,2,Clothing
2021-01-31,1,1,479,8,Clothing
2021-02-01,2,2,717,9,Electronics
2021-02-02,1,3,108,7,Electronics
2021-02-03,2,4,505,1,Electronics
2021-02-04,1,1,833,8,Electronics
2021-02-05,2,2,831,3,Food
2021-02-06,1,3,889,7,Food
2021-02-07,2,4,310,6,Electronics
2021-02-08,1,1,197,2,Clothing
2021-02-09,2,2,407,8,Electronics
2021-02-10,1,3,686,7,Clothing
2021-02-11,2,4,407,2,Food
2021-02-12,1,1,399,3,Clothing
2021-02-13,2,2,685,6,Electronics
2021-02-14,1,3,331,4,Electronics
2021-02-15,2,4,393,4,Electronics
2021-02-16,1,1,964,7,Food
2021-02-17,2,2,165,2,Food
2021-02-18,1,3,241,1,Electronics
2021-02-19,2,4,320,3,Electronics
2021-02-20,1,1,596,8,Food
2021-02-21,2,2,583,1,Food
2021-02-22,1,3,479,7,Clothing
2021-02-23,2,4,913,9,Clothing
2021-02-24,1,1,732,6,Electronics
2021-02-25,2,2,362,5,Electronics
2021-02-26,1,3,989,3,Food
2021-02-27,2,4,452,1,Electronics
2021-02-28,1,1,308,7,Electronics
2021-03-01,2,2,843,2,Clothing
2021-03-02,1,3,331,3,Clothing
2021-03-03,2,4,985,8,Electronics
2021-03-04,1,1,490,7,Food
2021-03-05,2,2,189,5,Clothing
2021-03-06,1,3,138,3,Clothing
2021-03-07,2,4,430,6,Electronics
2021-03-08,1,1,127,3,Food
2021-03-09,2,2,711,5,Clothing
2021-03-10,1,3,884,2,Clothing
2021-03-11,2,4,661,8,Electronics
2021-03-12,1,1,210,6,Clothing
2021-03-13,2,2,499,4,Clothing
2021-03-14,1,3,339,4,Food
2021-03-15,2,4,492,1,Food
2021-03-16,1,1,297,4,Food
2021-03-17,2,2,331,2,Food
2021-03-18,1,3,398,3,Electronics
2021-03-19,2,4,750,6,Clothing
2021-03-20,1,1,341,6,Clothing
2021-03-21,2,2,149,6,Electronics
2021-03-22,1,3,208,6,Electronics
2021-03-23,2,4,873,8,Electronics
2021-03-24,1,1,947,6,Clothing
2021-03-25,2,2,300,6,Clothing
2021-03-26,1,3,576,2,Food
2021-03-27,2,4,504,4,Food
2021-03-28,1,1,351,4,Clothing
2021-03-29,2,2,156,8,Clothing
2021-03-30,1,3,685,4,Clothing
2021-03-31,2,4,796,6,Clothing
2021-04-01,1,1,622,7,Food
2021-04-02,2,2,646,7,Clothing
2021-04-03,1,3,546,1,Clothing
2021-04-04,2,4,877,4,Food
2021-04-05,1,1,353,3,Food
2021-04-06,2,2,655,4,Clothing
2021-04-07,1,3,513,6,Electronics
2021-04-08,2,4,256,5,Electronics
2021-04-09,1,1,356,3,Food
2021-04-10,2,2,605,3,Food
2021-04-11,1,3,169,5,Food
2021-04-12,2,4,884,9,Clothing
2021-04-13,1,1,437,8,Clothing
2021-04-14,2,2,648,3,Electronics
2021-04-15,1,3,211,9,Electronics
2021-04-16,2,4,982,7,Clothing
2021-04-17,1,1,158,4,Food
2021-04-18,2,2,153,1,Food
2021-04-19,1,3,503,5,Electronics
2021-04-20,2,4,202,4,Clothing
2021-04-21,1,1,398,2,Electronics
2021-04-22,2,2,305,8,Electronics
2021-04-23,1,3,411,6,Food
2021-04-24,2,4,812,5,Electronics
2021-04-25,1,1,645,4,Clothing
2021-04-26,2,2,979,7,Food
2021-04-27,1,3,958,1,Clothing
2021-04-28,2,4,796,4,Clothing
2021-04-29,1,1,363,5,Food
2021-04-30,2,2,184,4,Clothing
2021-05-01,1,3,979,2,Clothing
2021-05-02,2,4,135,2,Food
2021-05-03,1,1,580,3,Clothing
2021-05-04,2,2,858,7,Clothing
2021-05-05,1,3,997,2,Food
2021-05-06,2,4,795,2,Electronics
2021-05-07,1,1,307,5,Clothing
2021-05-08,2,2,501,1,Food
2021-05-09,1,3,299,7,Clothing
2021-05-10,2,4,878,8,Electronics
2021-05-11,1,1,404,9,Electronics
2021-05-12,2,2,370,9,Food
2021-05-13,1,3,420,6,Food
2021-05-14,2,4,237,9,Clothing
2021-05-15,1,1,876,8,Food
2021-05-16,2,2,263,2,Electronics
2021-05-17,1,3,151,2,Electronics
2021-05-18,2,4,190,3,Electronics
2021-05-19,1,1,857,6,Food
2021-05-20,2,2,849,6,Electronics
2021-05-21,1,3,672,8,Electronics
2021-05-22,2,4,645,8,Electronics
2021-05-23,1,1,865,2,Electronics
2021-05-24,2,2,500,1,Food
2021-05-25,1,3,624,6,Clothing
2021-05-26,2,4,633,7,Food
2021-05-27,1,1,580,4,Food
2021-05-28,2,2,815,8,Food
2021-05-29,1,3,719,8,Clothing
2021-05-30,2,4,397,2,Clothing
2021-05-31,1,1,629,5,Food
2021-06-01,2,2,304,1,Clothing
2021-06-02,1,3,452,5,Clothing
2021-06-03,2,4,244,3,Clothing
2021-06-04,1,1,597,4,Clothing
2021-06-05,2,2,259,4,Food
2021-06-06,1,3,165,4,Clothing
2021-06-07,2,4,699,9,Electronics
2021-06-08,1,1,443,9,Clothing
2021-06-09,2,2,649,5,Food
2021-06-10,1,3,691,1,Food
2021-06-11,2,4,999,1,Electronics
2021-06-12,1,1,628,5,Clothing
2021-06-13,2,2,847,1,Clothing
2021-06-14,1,3,435,4,Food
2021-06-15,2,4,740,8,Food
2021-06-16,1,1,643,4,Food
2021-06-17,2,2,217,8,Clothing
2021-06-18,1,3,588,4,Clothing
2021-06-19,2,4,997,8,Electronics
2021-06-20,1,1,598,9,Food
2021-06-21,2,2,452,9,Food
2021-06-22,1,3,973,7,Food
2021-06-23,2,4,848,8,Clothing
2021-06-24,1,1,896,7,Food
2021-06-25,2,2,472,6,Food
2021-06-26,1,3,653,9,Food
2021-06-27,2,4,739,8,Clothing
2021-06-28,1,1,468,2,Electronics
2021-06-29,2,2,793,4,Electronics
2021-06-30,1,3,961,1,Clothing
2021-07-01,2,4,251,6,Food
2021-07-02,1,1,564,4,Electronics
2021-07-03,2,2,358,5,Food
2021-07-04,1,3,858,9,Food
2021-07-05,2,4,978,9,Food
2021-07-06,1,1,548,6,Electronics
2021-07-07,2,2,352,7,Clothing
2021-07-08,1,3,501,7,Clothing
2021-07-09,2,4,313,8,Electronics
2021-07-10,1,1,865,9,Food
2021-07-11,2,2,290,4,Food
2021-07-12,1,3,234,5,Food
2021-07-13,2,4,581,8,Clothing
2021-07-14,1,1,176,2,Food
2021-07-15,2,2,995,9,Clothing
2021-07-16,1,3,531,5,Clothing
2021-07-17,2,4,121,5,Electronics
2021-07-18,1,1,752,6,Clothing
2021-07-19,2,2,651,9,Clothing
2021-07-20,1,3,409,9,Clothing
2021-07-21,2,4,814,9,Electronics
2021-07-22,1,1,443,7,Food
2021-07-23,2,2,235,1,Electronics
2021-07-24,1,3,300,4,Clothing
2021-07-25,2,4,516,1,Electronics
2021-07-26,1,1,368,4,Food
2021-07-27,2,2,676,1,Clothing
2021-07-28,1,3,826,4,Electronics
2021-07-29,2,4,856,5,Clothing
2021-07-30,1,1,592,3,Food
2021-07-31,2,2,395,6,Clothing
2021-08-01,1,3,647,9,Clothing
2021-08-02,2,4,756,5,Clothing
2021-08-03,1,1,610,5,Electronics
2021-08-04,2,2,414,4,Food
2021-08-05,1,3,287,7,Food
2021-08-06,2,4,311,4,Food
2021-08-07,1,1,154,5,Electronics
2021-08-08,2,2,732,2,Food
2021-08-09,1,3,418,5,Food
2021-08-10,2,4,700,7,Clothing
2021-08-11,1,1,220,7,Food
2021-08-12,2,2,271,4,Clothing
2021-08-13,1,3,721,9,Food
2021-08-14,2,4,393,7,Electronics
2021-08-15,1,1,112,2,Clothing
2021-08-16,2,2,708,5,Clothing
2021-08-17,1,3,663,2,Food
2021-08-18,2,4,754,5,Clothing
2021-08-19,1,1,216,5,Clothing
2021-08-20,2,2,418,6,Clothing
2021-08-21,1,3,120,1,Electronics
2021-08-22,2,4,465,8,Clothing
2021-08-23,1,1,373,6,Clothing
2021-08-24,2,2,585,3,Electronics
2021-08-25,1,3,145,9,Electronics
2021-08-26,2,4,468,3,Food
2021-08-27,1,1,306,8,Electronics
2021-08-28,2,2,361,9,Food
2021-08-29,1,3,884,5,Food
2021-08-30,2,4,214,2,Electronics
2021-08-31,1,1,486,6,Food
2021-09-01,2,2,519,8,Electronics
2021-09-02,1,3,671,9,Clothing
2021-09-03,2,4,279,5,Clothing
2021-09-04,1,1,963,7,Clothing
2021-09-05,2,2,375,2,Clothing
2021-09-06,1,3,177,3,Electronics
2021-09-07,2,4,527,8,Clothing
2021-09-08,1,1,381,1,Food
2021-09-09,2,2,313,1,Clothing
2021-09-10,1,3,970,8,Electronics
2021-09-11,2,4,123,7,Food
2021-09-12,1,1,238,5,Electronics
2021-09-13,2,2,693,6,Food
2021-09-14,1,3,122,9,Electronics
2021-09-15,2,4,245,3,Clothing
2021-09-16,1,1,752,7,Food
2021-09-17,2,2,679,2,Electronics
2021-09-18,1,3,263,3,Clothing
2021-09-19,2,4,901,3,Clothing
2021-09-20,1,1,124,2,Clothing
2021-09-21,2,2,287,7,Food
2021-09-22,1,3,432,2,Food
2021-09-23,2,4,823,6,Food
2021-09-24,1,1,426,6,Clothing
2021-09-25,2,2,232,8,Clothing
2021-09-26,1,3,383,8,Food
2021-09-27,2,4,617,8,Food
2021-09-28,1,1,255,7,Electronics
2021-09-29,2,2,503,6,Clothing
2021-09-30,1,3,149,7,Clothing
2021-10-01,2,4,721,6,Clothing
2021-10-02,1,1,398,1,Food
2021-10-03,2,2,920,1,Electronics
2021-10-04,1,3,718,4,Electronics
2021-10-05,2,4,496,9,Electronics
2021-10-06,1,1,467,8,Food
2021-10-07,2,2,751,2,Electronics
2021-10-08,1,3,583,2,Food
2021-10-09,2,4,865,2,Clothing
2021-10-10,1,1,113,3,Food
2021-10-11,2,2,648,2,Electronics
2021-10-12,1,3,593,8,Food
2021-10-13,2,4,999,2,Clothing
2021-10-14,1,1,720,4,Clothing
2021-10-15,2,2,535,9,Food
2021-10-16,1,3,499,9,Clothing
2021-10-17,2,4,418,1,Food
2021-10-18,1,1,823,4,Food
2021-10-19,2,2,523,4,Food
2021-10-20,1,3,277,5,Clothing
2021-10-21,2,4,204,6,Clothing
2021-10-22,1,1,137,4,Electronics
2021-10-23,2,2,470,7,Clothing
2021-10-24,1,3,468,9,Food
2021-10-25,2,4,296,1,Clothing
2021-10-26,1,1,687,1,Clothing
2021-10-27,2,2,683,4,Food
2021-10-28,1,3,583,1,Electronics
2021-10-29,2,4,103,6,Electronics
2021-10-30,1,1,219,6,Clothing
2021-10-31,2,2,599,8,Electronics
2021-11-01,1,3,271,3,Electronics
2021-11-02,2,4,756,8,Clothing
2021-11-03,1,1,534,3,Clothing
2021-11-04,2,2,105,3,Food
2021-11-05,1,3,309,6,Electronics
2021-11-06,2,4,982,1,Food
2021-11-07,1,1,317,9,Clothing
2021-11-08,2,2,339,2,Electronics
2021-11-09,1,3,214,1,Electronics
2021-11-10,2,4,676,5,Clothing
2021-11-11,1,1,527,1,Food
2021-11-12,2,2,389,6,Electronics
2021-11-13,1,3,335,8,Electronics
2021-11-14,2,4,642,5,Electronics
2021-11-15,1,1,762,6,Food
2021-11-16,2,2,631,4,Clothing
2021-11-17,1,3,585,4,Electronics
2021-11-18,2,4,525,3,Electronics
2021-11-19,1,1,723,9,Food
2021-11-20,2,2,941,2,Food
2021-11-21,1,3,731,6,Food
2021-11-22,2,4,330,5,Food
2021-11-23,1,1,343,5,Electronics
2021-11-24,2,2,902,6,Clothing
2021-11-25,1,3,418,7,Food
2021-11-26,2,4,976,3,Clothing
2021-11-27,1,1,672,8,Clothing
2021-11-28,2,2,354,9,Electronics
2021-11-29,1,3,654,9,Clothing
2021-11-30,2,4,450,8,Clothing
2021-12-01,1,1,510,1,Electronics
2021-12-02,2,2,495,7,Food
2021-12-03,1,3,525,4,Electronics
2021-12-04,2,4,835,2,Food
2021-12-05,1,1,255,7,Food
2021-12-06,2,2,539,2,Food
2021-12-07,1,3,742,9,Electronics
2021-12-08,2,4,205,6,Food
2021-12-09,1,1,458,7,Clothing
2021-12-10,2,2,644,1,Food
2021-12-11,1,3,825,8,Clothing
2021-12-12,2,4,694,8,Electronics
2021-12-13,1,1,130,2,Electronics
2021-12-14,2,2,749,5,Food
2021-12-15,1,3,882,4,Clothing
2021-12-16,2,4,321,6,Electronics
2021-12-17,1,1,411,9,Electronics
2021-12-18,2,2,411,8,Food
2021-12-19,1,3,418,2,Food
2021-12-20,2,4,434,1,Clothing
2021-12-21,1,1,915,5,Food
