date,store,dept,sales,store_id
2020-08-15,2,4,984,7
2020-08-16,1,1,289,3
2020-08-17,2,2,643,1
2020-08-18,1,3,725,8
2020-08-19,2,4,821,2
2020-08-20,1,1,112,9
2020-08-21,2,2,572,8
2020-08-22,1,3,727,9
2020-08-23,2,4,564,1
2020-08-24,1,1,181,2
2020-08-25,2,2,568,8
2020-08-26,1,3,417,5
2020-08-27,2,4,653,1
2020-08-28,1,1,702,3
2020-08-29,2,2,432,7
2020-08-30,1,3,646,9
2020-08-31,2,4,378,8
2020-09-01,1,1,299,5
2020-09-02,2,2,423,8
2020-09-03,1,3,489,4
2020-09-04,2,4,892,7
2020-09-05,1,1,419,3
2020-09-06,2,2,855,6
2020-09-07,1,3,385,9
2020-09-08,2,4,249,5
2020-09-09,1,1,268,9
2020-09-10,2,2,856,7
2020-09-11,1,3,436,1
2020-09-12,2,4,903,4
2020-09-13,1,1,119,2
2020-09-14,2,2,145,5
2020-09-15,1,3,775,2
2020-09-16,2,4,906,1
2020-09-17,1,1,857,5
2020-09-18,2,2,593,3
2020-09-19,1,3,283,5
2020-09-20,2,4,681,3
2020-09-21,1,1,285,8
2020-09-22,2,2,617,6
2020-09-23,1,3,660,6
2020-09-24,2,4,794,2
2020-09-25,1,1,930,4
2020-09-26,2,2,477,8
2020-09-27,1,3,253,1
2020-09-28,2,4,488,1
2020-09-29,1,1,417,4
2020-09-30,2,2,781,1
2020-10-01,1,3,471,9
2020-10-02,2,4,695,2
2020-10-03,1,1,982,4
2020-10-04,2,2,226,5
2020-10-05,1,3,420,5
2020-10-06,2,4,541,9
2020-10-07,1,1,254,2
2020-10-08,2,2,594,5
2020-10-09,1,3,546,3
2020-10-10,2,4,973,5
2020-10-11,1,1,787,1
2020-10-12,2,2,778,3
2020-10-13,1,3,717,8
2020-10-14,2,4,408,1
2020-10-15,1,1,618,2
2020-10-16,2,2,454,3
2020-10-17,1,3,897,6
2020-10-18,2,4,504,5
2020-10-19,1,1,588,3
2020-10-20,2,2,803,1
2020-10-21,1,3,164,4
2020-10-22,2,4,113,1
2020-10-23,1,1,716,9
2020-10-24,2,2,545,9
2020-10-25,1,3,510,9
2020-10-26,2,4,558,1
2020-10-27,1,1,237,1
2020-10-28,2,2,465,1
2020-10-29,1,3,199,8
2020-10-30,2,4,832,6
2020-10-31,1,1,392,1
2020-11-01,2,2,317,3
2020-11-02,1,3,777,6
2020-11-03,2,4,222,7
2020-11-04,1,1,527,8
2020-11-05,2,2,801,8
2020-11-06,1,3,233,4
2020-11-07,2,4,545,2
2020-11-08,1,1,336,8
2020-11-09,2,2,273,1
2020-11-10,1,3,718,5
2020-11-11,2,4,391,5
2020-11-12,1,1,836,8
2020-11-13,2,2,856,3
2020-11-14,1,3,760,4
2020-11-15,2,4,202,4
2020-11-16,1,1,841,6
2020-11-17,2,2,952,4
2020-11-18,1,3,501,3
2020-11-19,2,4,456,3
2020-11-20,1,1,473,8
2020-11-21,2,2,524,6
2020-11-22,1,3,747,5
2020-11-23,2,4,914,2
2020-11-24,1,1,218,8
2020-11-25,2,2,885,4
2020-11-26,1,3,698,5
2020-11-27,2,4,204,7
2020-11-28,1,1,565,9
2020-11-29,2,2,657,1
2020-11-30,1,3,549,6
2020-12-01,2,4,823,3
2020-12-02,1,1,605,6
2020-12-03,2,2,899,6
2020-12-04,1,3,983,4
2020-12-05,2,4,948,2
2020-12-06,1,1,601,8
2020-12-07,2,2,379,3
2020-12-08,1,3,303,3
2020-12-09,2,4,580,1
2020-12-10,1,1,376,7
2020-12-11,2,2,487,1
2020-12-12,1,3,561,1
2020-12-13,2,4,181,5
2020-12-14,1,1,979,7
2020-12-15,2,2,229,3
2020-12-16,1,3,671,6
2020-12-17,2,4,716,9
2020-12-18,1,1,274,2
2020-12-19,2,2,981,4
2020-12-20,1,3,231,1
2020-12-21,2,4,591,7
2020-12-22,1,1,325,8
2020-12-23,2,2,286,7
2020-12-24,1,3,536,3
2020-12-25,2,4,515,5
2020-12-26,1,1,963,1
2020-12-27,2,2,991,8
2020-12-28,1,3,884,3
2020-12-29,2,4,244,5
2020-12-30,1,1,511,6
2020-12-31,2,2,838,7
2021-01-01,1,3,615,5
2021-01-02,2,4,349,8
2021-01-03,1,1,658,9
2021-01-04,2,2,967,7
2021-01-05,1,3,344,8
2021-01-06,2,4,540,1
2021-01-07,1,1,377,8
2021-01-08,2,2,533,6
2021-01-09,1,3,136,2
2021-01-10,2,4,704,6
2021-01-11,1,1,578,2
2021-01-12,2,2,168,3
2021-01-13,1,3,115,2
2021-01-14,2,4,470,2
2021-01-15,1,1,736,9
2021-01-16,2,2,737,5
2021-01-17,1,3,550,5
2021-01-18,2,4,508,5
2021-01-19,1,1,235,8
2021-01-20,2,2,323,9
2021-01-21,1,3,356,1
2021-01-22,2,4,309,8
2021-01-23,1,1,458,5
2021-01-24,2,2,712,3
2021-01-25,1,3,566,2
2021-01-26,2,4,205,3
2021-01-27,1,1,842,5
2021-01-28,2,2,894,5
2021-01-29,1,3,308,8
2021-01-30,2,4,996,9
2021-01-31,1,1,617,7
2021-02-01,2,2,909,4
2021-02-02,1,3,653,3
2021-02-03,2,4,330,1
2021-02-04,1,1,462,6
2021-02-05,2,2,362,2
2021-02-06,1,3,568,4
2021-02-07,2,4,933,8
2021-02-08,1,1,894,3
2021-02-09,2,2,351,7
2021-02-10,1,3,994,1
2021-02-11,2,4,127,1
2021-02-12,1,1,899,6
2021-02-13,2,2,315,4
2021-02-14,1,3,259,5
2021-02-15,2,4,708,6
2021-02-16,1,1,387,5
2021-02-17,2,2,707,5
2021-02-18,1,3,231,7
2021-02-19,2,4,458,7
2021-02-20,1,1,915,5
2021-02-21,2,2,752,2
2021-02-22,1,3,712,1
2021-02-23,2,4,993,6
2021-02-24,1,1,688,2
2021-02-25,2,2,499,7
2021-02-26,1,3,234,8
2021-02-27,2,4,437,3
2021-02-28,1,1,442,9
2021-03-01,2,2,544,3
2021-03-02,1,3,205,4
2021-03-03,2,4,604,3
2021-03-04,1,1,485,5
2021-03-05,2,2,928,5
2021-03-06,1,3,608,2
2021-03-07,2,4,963,4
2021-03-08,1,1,693,3
2021-03-09,2,2,463,7
2021-03-10,1,3,787,6
2021-03-11,2,4,553,3
2021-03-12,1,1,440,4
2021-03-13,2,2,632,1
2021-03-14,1,3,978,8
2021-03-15,2,4,714,6
2021-03-16,1,1,398,5
2021-03-17,2,2,792,4
2021-03-18,1,3,585,8
2021-03-19,2,4,342,6
2021-03-20,1,1,357,1
2021-03-21,2,2,289,7
2021-03-22,1,3,992,1
2021-03-23,2,4,524,2
2021-03-24,1,1,991,5
2021-03-25,2,2,460,1
2021-03-26,1,3,373,3
2021-03-27,2,4,311,5
2021-03-28,1,1,573,4
2021-03-29,2,2,213,1
2021-03-30,1,3,381,7
2021-03-31,2,4,266,4
2021-04-01,1,1,186,9
2021-04-02,2,2,827,4
2021-04-03,1,3,910,5
2021-04-04,2,4,471,1
2021-04-05,1,1,611,4
2021-04-06,2,2,615,5
2021-04-07,1,3,809,2
2021-04-08,2,4,278,1
2021-04-09,1,1,702,1
2021-04-10,2,2,986,5
2021-04-11,1,3,894,2
2021-04-12,2,4,697,5
2021-04-13,1,1,706,8
2021-04-14,2,2,121,7
2021-04-15,1,3,989,7
2021-04-16,2,4,246,5
2021-04-17,1,1,614,4
2021-04-18,2,2,360,4
2021-04-19,1,3,912,4
2021-04-20,2,4,881,4
2021-04-21,1,1,851,7
2021-04-22,2,2,190,3
2021-04-23,1,3,999,5
2021-04-24,2,4,564,6
2021-04-25,1,1,388,1
2021-04-26,2,2,642,4
2021-04-27,1,3,311,8
2021-04-28,2,4,321,9
2021-04-29,1,1,506,8
2021-04-30,2,2,129,8
2021-05-01,1,3,533,8
2021-05-02,2,4,909,8
2021-05-03,1,1,863,9
2021-05-04,2,2,864,9
2021-05-05,1,3,946,8
2021-05-06,2,4,840,8
2021-05-07,1,1,249,3
2021-05-08,2,2,408,1
2021-05-09,1,3,543,3
2021-05-10,2,4,790,4
2021-05-11,1,1,554,8
2021-05-12,2,2,531,1
2021-05-13,1,3,264,8
2021-05-14,2,4,492,8
2021-05-15,1,1,692,3
2021-05-16,2,2,598,7
2021-05-17,1,3,553,8
2021-05-18,2,4,156,6
2021-05-19,1,1,650,4
2021-05-20,2,2,706,6
2021-05-21,1,3,622,1
2021-05-22,2,4,363,1
2021-05-23,1,1,113,2
2021-05-24,2,2,741,6
2021-05-25,1,3,673,8
2021-05-26,2,4,688,5
2021-05-27,1,1,745,3
2021-05-28,2,2,132,7
2021-05-29,1,3,238,9
2021-05-30,2,4,265,2
2021-05-31,1,1,648,7
2021-06-01,2,2,695,5
2021-06-02,1,3,306,7
2021-06-03,2,4,732,5
2021-06-04,1,1,905,2
2021-06-05,2,2,263,5
2021-06-06,1,3,434,3
2021-06-07,2,4,480,3
2021-06-08,1,1,563,6
2021-06-09,2,2,905,9
2021-06-10,1,3,610,5
2021-06-11,2,4,934,6
2021-06-12,1,1,437,2
2021-06-13,2,2,576,4
2021-06-14,1,3,578,5
2021-06-15,2,4,434,1
2021-06-16,1,1,421,7
2021-06-17,2,2,648,1
2021-06-18,1,3,183,2
2021-06-19,2,4,241,7
2021-06-20,1,1,557,4
2021-06-21,2,2,915,8
2021-06-22,1,3,515,1
2021-06-23,2,4,666,1
2021-06-24,1,1,911,1
2021-06-25,2,2,241,1
2021-06-26,1,3,829,9
2021-06-27,2,4,778,2
2021-06-28,1,1,567,1
2021-06-29,2,2,797,3
2021-06-30,1,3,874,2
2021-07-01,2,4,912,9
2021-07-02,1,1,725,4
2021-07-03,2,2,227,6
2021-07-04,1,3,689,8
2021-07-05,2,4,979,4
2021-07-06,1,1,528,9
2021-07-07,2,2,430,7
2021-07-08,1,3,442,1
2021-07-09,2,4,509,9
2021-07-10,1,1,229,4
2021-07-11,2,2,512,3
2021-07-12,1,3,430,8
2021-07-13,2,4,323,5
2021-07-14,1,1,526,2
2021-07-15,2,2,785,7
2021-07-16,1,3,630,5
2021-07-17,2,4,447,2
2021-07-18,1,1,798,1
2021-07-19,2,2,122,4
2021-07-20,1,3,417,8
2021-07-21,2,4,284,9
2021-07-22,1,1,967,7
2021-07-23,2,2,725,8
2021-07-24,1,3,415,2
2021-07-25,2,4,147,1
2021-07-26,1,1,989,5
2021-07-27,2,2,701,9
2021-07-28,1,3,440,5
2021-07-29,2,4,210,4
2021-07-30,1,1,568,5
2021-07-31,2,2,757,2
2021-08-01,1,3,141,9
2021-08-02,2,4,813,4
2021-08-03,1,1,558,6
2021-08-04,2,2,819,9
2021-08-05,1,3,645,8
2021-08-06,2,4,953,1
2021-08-07,1,1,302,8
2021-08-08,2,2,600,9
2021-08-09,1,3,741,3
2021-08-10,2,4,484,3
2021-08-11,1,1,205,4
2021-08-12,2,2,969,8
2021-08-13,1,3,760,3
2021-08-14,2,4,901,4
2021-08-15,1,1,636,2
2021-08-16,2,2,159,8
2021-08-17,1,3,712,9
2021-08-18,2,4,869,8
2021-08-19,1,1,806,1
2021-08-20,2,2,729,4
2021-08-21,1,3,323,5
2021-08-22,2,4,729,4
2021-08-23,1,1,911,6
2021-08-24,2,2,623,5
2021-08-25,1,3,706,6
2021-08-26,2,4,536,8
2021-08-27,1,1,327,4
2021-08-28,2,2,589,3
2021-08-29,1,3,971,9
2021-08-30,2,4,175,6
2021-08-31,1,1,257,9
2021-09-01,2,2,807,2
2021-09-02,1,3,457,2
2021-09-03,2,4,518,6
2021-09-04,1,1,318,1
2021-09-05,2,2,735,6
2021-09-06,1,3,184,9
2021-09-07,2,4,290,1
2021-09-08,1,1,114,4
2021-09-09,2,2,299,8
2021-09-10,1,3,762,4
2021-09-11,2,4,581,6
2021-09-12,1,1,996,5
2021-09-13,2,2,240,7
2021-09-14,1,3,633,3
2021-09-15,2,4,136,3
2021-09-16,1,1,909,6
2021-09-17,2,2,705,3
2021-09-18,1,3,552,8
2021-09-19,2,4,486,3
2021-09-20,1,1,108,6
2021-09-21,2,2,581,3
2021-09-22,1,3,537,3
2021-09-23,2,4,337,6
2021-09-24,1,1,201,5
2021-09-25,2,2,506,5
2021-09-26,1,3,450,7
2021-09-27,2,4,202,7
2021-09-28,1,1,610,5
2021-09-29,2,2,231,3
2021-09-30,1,3,150,6
2021-10-01,2,4,307,6
2021-10-02,1,1,291,9
2021-10-03,2,2,641,6
2021-10-04,1,3,639,6
2021-10-05,2,4,183,6
2021-10-06,1,1,136,3
2021-10-07,2,2,918,8
2021-10-08,1,3,391,6
2021-10-09,2,4,535,9
2021-10-10,1,1,704,7
2021-10-11,2,2,383,7
2021-10-12,1,3,374,6
2021-10-13,2,4,808,4
2021-10-14,1,1,113,8
2021-10-15,2,2,252,5
2021-10-16,1,3,572,1
2021-10-17,2,4,111,7
2021-10-18,1,1,510,3
2021-10-19,2,2,271,3
2021-10-20,1,3,127,2
2021-10-21,2,4,103,8
2021-10-22,1,1,460,5
2021-10-23,2,2,799,7
2021-10-24,1,3,519,3
2021-10-25,2,4,846,5
2021-10-26,1,1,121,2
2021-10-27,2,2,613,4
2021-10-28,1,3,119,6
2021-10-29,2,4,130,9
2021-10-30,1,1,676,5
2021-10-31,2,2,909,9
2021-11-01,1,3,326,5
2021-11-02,2,4,172,9
2021-11-03,1,1,528,3
2021-11-04,2,2,644,4
2021-11-05,1,3,511,8
2021-11-06,2,4,378,3
2021-11-07,1,1,416,2
2021-11-08,2,2,165,3
2021-11-09,1,3,946,4
2021-11-10,2,4,990,5
2021-11-11,1,1,547,8
2021-11-12,2,2,809,4
2021-11-13,1,3,477,8
2021-11-14,2,4,581,6
2021-11-15,1,1,762,7
2021-11-16,2,2,540,3
2021-11-17,1,3,395,8
2021-11-18,2,4,987,8
2021-11-19,1,1,723,4
2021-11-20,2,2,598,9
2021-11-21,1,3,828,3
2021-11-22,2,4,727,2
2021-11-23,1,1,494,1
2021-11-24,2,2,910,1
2021-11-25,1,3,414,7
2021-11-26,2,4,938,3
2021-11-27,1,1,548,3
2021-11-28,2,2,957,5
2021-11-29,1,3,760,2
2021-11-30,2,4,961,2
2021-12-01,1,1,297,5
2021-12-02,2,2,418,4
2021-12-03,1,3,388,8
2021-12-04,2,4,759,1
2021-12-05,1,1,817,9
2021-12-06,2,2,390,7
2021-12-07,1,3,885,2
2021-12-08,2,4,332,1
2021-12-09,1,1,921,1
2021-12-10,2,2,387,5
2021-12-11,1,3,925,8
2021-12-12,2,4,363,4
2021-12-13,1,1,502,3
2021-12-14,2,2,222,1
2021-12-15,1,3,316,4
2021-12-16,2,4,834,5
2021-12-17,1,1,194,6
2021-12-18,2,2,858,5
2021-12-19,1,3,748,3
2021-12-20,2,4,813,1
2021-12-21,1,1,805,5
2021-12-22,2,2,500,8
2021-12-23,1,3,577,6
2021-12-24,2,4,357,7
2021-12-25,1,1,359,7
2021-12-26,2,2,702,1
2021-12-27,1,3,898,4
2021-12-28,2,4,576,2
2021-12-29,1,1,698,8
2021-12-30,2,2,716,1
2021-12-31,1,3,260,6
2022-01-01,2,4,840,8
2022-01-02,1,1,845,9
2022-01-03,2,2,601,7
2022-01-04,1,3,435,7
2022-01-05,2,4,499,3
2022-01-06,1,1,260,6
2022-01-07,2,2,853,2
2022-01-08,1,3,599,7
2022-01-09,2,4,203,9
2022-01-10,1,1,971,5
2022-01-11,2,2,366,7
2022-01-12,1,3,465,5
2022-01-13,2,4,794,6
2022-01-14,1,1,795,6
2022-01-15,2,2,618,5
2022-01-16,1,3,719,7
2022-01-17,2,4,461,6
2022-01-18,1,1,301,8
2022-01-19,2,2,699,3
2022-01-20,1,3,838,4
2022-01-21,2,4,397,9
2022-01-22,1,1,824,3
2022-01-23,2,2,750,4
2022-01-24,1,3,343,4
2022-01-25,2,4,678,1
2022-01-26,1,1,512,7
2022-01-27,2,2,747,8
2022-01-28,1,3,377,3
2022-01-29,2,4,591,5
2022-01-30,1,1,884,8
2022-01-31,2,2,376,2
2022-02-01,1,3,824,2
2022-02-02,2,4,732,5
2022-02-03,1,1,358,4
2022-02-04,2,2,786,5
2022-02-05,1,3,675,5
2022-02-06,2,4,854,8
2022-02-07,1,1,523,9
2022-02-08,2,2,233,4
2022-02-09,1,3,856,8
2022-02-10,2,4,728,3
2022-02-11,1,1,812,9
2022-02-12,2,2,723,2
2022-02-13,1,3,594,3
2022-02-14,2,4,713,9
2022-02-15,1,1,884,5
2022-02-16,2,2,816,6
2022-02-17,1,3,983,3
2022-02-18,2,4,861,5
2022-02-19,1,1,677,4
2022-02-20,2,2,973,3
2022-02-21,1,3,687,2
2022-02-22,2,4,793,5
2022-02-23,1,1,345,6
2022-02-24,2,2,661,1
2022-02-25,1,3,957,9
2022-02-26,2,4,103,6
2022-02-27,1,1,261,8
2022-02-28,2,2,182,4
2022-03-01,1,3,801,6
2022-03-02,2,4,423,3
2022-03-03,1,1,920,9
2022-03-04,2,2,603,6
2022-03-05,1,3,921,9
2022-03-06,2,4,146,6
2022-03-07,1,1,180,8
2022-03-08,2,2,627,3
2022-03-09,1,3,412,5
2022-03-10,2,4,955,1
2022-03-11,1,1,966,3
2022-03-12,2,2,286,4
2022-03-13,1,3,154,8
2022-03-14,2,4,697,3
2022-03-15,1,1,148,4
2022-03-16,2,2,205,1
2022-03-17,1,3,741,9
2022-03-18,2,4,308,2
2022-03-19,1,1,925,2
2022-03-20,2,2,687,1
2022-03-21,1,3,516,6
2022-03-22,2,4,276,4
2022-03-23,1,1,690,4
2022-03-24,2,2,279,8
2022-03-25,1,3,637,5
2022-03-26,2,4,186,8
2022-03-27,1,1,532,1
2022-03-28,2,2,176,6
2022-03-29,1,3,681,2
2022-03-30,2,4,676,4
2022-03-31,1,1,299,7
2022-04-01,2,2,754,8
2022-04-02,1,3,944,4
2022-04-03,2,4,264,4
2022-04-04,1,1,916,8
2022-04-05,2,2,369,9
2022-04-06,1,3,649,5
2022-04-07,2,4,985,1
2022-04-08,1,1,402,1
2022-04-09,2,2,323,2
2022-04-10,1,3,169,1
2022-04-11,2,4,673,2
2022-04-12,1,1,359,1
2022-04-13,2,2,363,5
2022-04-14,1,3,413,7
2022-04-15,2,4,437,3
2022-04-16,1,1,931,1
2022-04-17,2,2,654,7
2022-04-18,1,3,876,9
2022-04-19,2,4,287,6
2022-04-20,1,1,314,6
2022-04-21,2,2,307,2
2022-04-22,1,3,295,8
2022-04-23,2,4,301,2
2022-04-24,1,1,108,2
2022-04-25,2,2,964,8
2022-04-26,1,3,598,7
2022-04-27,2,4,115,3
2022-04-28,1,1,906,4
2022-04-29,2,2,453,8
2022-04-30,1,3,744,5
2022-05-01,2,4,753,1
2022-05-02,1,1,323,7
2022-05-03,2,2,475,2
2022-05-04,1,3,410,3
2022-05-05,2,4,302,8
2022-05-06,1,1,885,9
2022-05-07,2,2,453,5
2022-05-08,1,3,152,2
2022-05-09,2,4,570,4
2022-05-10,1,1,773,1
2022-05-11,2,2,171,1
2022-05-12,1,3,587,5
2022-05-13,2,4,702,7
2022-05-14,1,1,176,4
2022-05-15,2,2,814,6
2022-05-16,1,3,370,9
2022-05-17,2,4,433,1
2022-05-18,1,1,406,8
2022-05-19,2,2,584,1
2022-05-20,1,3,148,8
2022-05-21,2,4,552,4
2022-05-22,1,1,768,8
2022-05-23,2,2,884,9
2022-05-24,1,3,527,1
2022-05-25,2,4,683,8
2022-05-26,1,1,122,1
2022-05-27,2,2,418,7
2022-05-28,1,3,589,8
2022-05-29,2,4,867,8
2022-05-30,1,1,416,8
2022-05-31,2,2,960,2
2022-06-01,1,3,545,3
2022-06-02,2,4,313,9
2022-06-03,1,1,105,4
2022-06-04,2,2,165,8
2022-06-05,1,3,502,4
2022-06-06,2,4,705,2
2022-06-07,1,1,844,2
2022-06-08,2,2,717,5
2022-06-09,1,3,629,2
2022-06-10,2,4,826,1
2022-06-11,1,1,892,8
2022-06-12,2,2,904,1
2022-06-13,1,3,164,8
2022-06-14,2,4,129,6
2022-06-15,1,1,411,6
2022-06-16,2,2,206,9
2022-06-17,1,3,767,8
2022-06-18,2,4,931,6
2022-06-19,1,1,547,7
2022-06-20,2,2,294,3
2022-06-21,1,3,973,2
2022-06-22,2,4,957,7
2022-06-23,1,1,171,4
2022-06-24,2,2,575,5
2022-06-25,1,3,986,9
2022-06-26,2,4,250,6
2022-06-27,1,1,614,3
2022-06-28,2,2,786,2
2022-06-29,1,3,363,1
2022-06-30,2,4,962,9
2022-07-01,1,1,651,2
2022-07-02,2,2,859,3
2022-07-03,1,3,234,3
2022-07-04,2,4,606,5
2022-07-05,1,1,387,1
2022-07-06,2,2,357,4
2022-07-07,1,3,247,7
2022-07-08,2,4,478,5
2022-07-09,1,1,755,4
2022-07-10,2,2,780,4
2022-07-11,1,3,868,5
2022-07-12,2,4,777,7
2022-07-13,1,1,168,9
2022-07-14,2,2,976,9
2022-07-15,1,3,216,7
2022-07-16,2,4,113,7
2022-07-17,1,1,748,7
2022-07-18,2,2,802,8
2022-07-19,1,3,999,3
