date,store,dept,weekly_sales
2020-03-14,2,2,4298
2020-03-15,1,3,1192
2020-03-16,2,4,2080
2020-03-17,1,1,4012
2020-03-18,2,2,1506
2020-03-19,1,3,2797
2020-03-20,2,4,3923
2020-03-21,1,1,1598
2020-03-22,2,2,4528
2020-03-23,1,3,2511
2020-03-24,2,4,4559
2020-03-25,1,1,2033
2020-03-26,2,2,4662
2020-03-27,1,3,2870
2020-03-28,2,4,2878
2020-03-29,1,1,1559
2020-03-30,2,2,3868
2020-03-31,1,3,2220
2020-04-01,2,4,2302
2020-04-02,1,1,4025
2020-04-03,2,2,3349
2020-04-04,1,3,1510
2020-04-05,2,4,4582
2020-04-06,1,1,1470
2020-04-07,2,2,3401
2020-04-08,1,3,2548
2020-04-09,2,4,2433
2020-04-10,1,1,2916
2020-04-11,2,2,1299
2020-04-12,1,3,2162
2020-04-13,2,4,1895
2020-04-14,1,1,1333
2020-04-15,2,2,4274
2020-04-16,1,3,3795
2020-04-17,2,4,3551
2020-04-18,1,1,1197
2020-04-19,2,2,4833
2020-04-20,1,3,1546
2020-04-21,2,4,2196
2020-04-22,1,1,4888
2020-04-23,2,2,4303
2020-04-24,1,3,2936
2020-04-25,2,4,1795
2020-04-26,1,1,1151
2020-04-27,2,2,1177
2020-04-28,1,3,1617
2020-04-29,2,4,1370
2020-04-30,1,1,2436
2020-05-01,2,2,4060
2020-05-02,1,3,3832
2020-05-03,2,4,1698
2020-05-04,1,1,3087
2020-05-05,2,2,3872
2020-05-06,1,3,3239
2020-05-07,2,4,4527
2020-05-08,1,1,2001
2020-05-09,2,2,4442
2020-05-10,1,3,2677
2020-05-11,2,4,1748
2020-05-12,1,1,3777
2020-05-13,2,2,3909
2020-05-14,1,3,2327
2020-05-15,2,4,3349
2020-05-16,1,1,3683
2020-05-17,2,2,4430
2020-05-18,1,3,4626
2020-05-19,2,4,1926
2020-05-20,1,1,4112
2020-05-21,2,2,4275
2020-05-22,1,3,1486
2020-05-23,2,4,2484
2020-05-24,1,1,2507
2020-05-25,2,2,4175
2020-05-26,1,3,3425
2020-05-27,2,4,1456
2020-05-28,1,1,4112
2020-05-29,2,2,2029
2020-05-30,1,3,2741
2020-05-31,2,4,1865
2020-06-01,1,1,4211
2020-06-02,2,2,1169
2020-06-03,1,3,3888
2020-06-04,2,4,1881
2020-06-05,1,1,4086
2020-06-06,2,2,2208
2020-06-07,1,3,2524
2020-06-08,2,4,3233
2020-06-09,1,1,2327
2020-06-10,2,2,3705
2020-06-11,1,3,3876
2020-06-12,2,4,2626
2020-06-13,1,1,1482
2020-06-14,2,2,1424
2020-06-15,1,3,3325
2020-06-16,2,4,1306
2020-06-17,1,1,1299
2020-06-18,2,2,1869
2020-06-19,1,3,1882
2020-06-20,2,4,2979
2020-06-21,1,1,1627
2020-06-22,2,2,1809
2020-06-23,1,3,3734
2020-06-24,2,4,4086
2020-06-25,1,1,2368
2020-06-26,2,2,1538
2020-06-27,1,3,4359
2020-06-28,2,4,3952
2020-06-29,1,1,2492
2020-06-30,2,2,3803
2020-07-01,1,3,1491
2020-07-02,2,4,3664
2020-07-03,1,1,3125
2020-07-04,2,2,2264
2020-07-05,1,3,2360
2020-07-06,2,4,3086
2020-07-07,1,1,2608
2020-07-08,2,2,4365
2020-07-09,1,3,3741
2020-07-10,2,4,3453
2020-07-11,1,1,2646
2020-07-12,2,2,4043
2020-07-13,1,3,2668
2020-07-14,2,4,2785
2020-07-15,1,1,2933
2020-07-16,2,2,2425
2020-07-17,1,3,3655
2020-07-18,2,4,2489
2020-07-19,1,1,4546
2020-07-20,2,2,3495
2020-07-21,1,3,1953
2020-07-22,2,4,4303
2020-07-23,1,1,4829
2020-07-24,2,2,1782
2020-07-25,1,3,3493
2020-07-26,2,4,3172
2020-07-27,1,1,2816
2020-07-28,2,2,2735
2020-07-29,1,3,2629
2020-07-30,2,4,2064
2020-07-31,1,1,3732
2020-08-01,2,2,2354
2020-08-02,1,3,2974
2020-08-03,2,4,2270
2020-08-04,1,1,2525
2020-08-05,2,2,1262
2020-08-06,1,3,4288
2020-08-07,2,4,4437
2020-08-08,1,1,1009
2020-08-09,2,2,1496
2020-08-10,1,3,4254
2020-08-11,2,4,3999
2020-08-12,1,1,2615
2020-08-13,2,2,2644
2020-08-14,1,3,3638
2020-08-15,2,4,1120
2020-08-16,1,1,1440
2020-08-17,2,2,1199
2020-08-18,1,3,3891
2020-08-19,2,4,3422
2020-08-20,1,1,3671
2020-08-21,2,2,3766
2020-08-22,1,3,2841
2020-08-23,2,4,2618
2020-08-24,1,1,1125
2020-08-25,2,2,1335
2020-08-26,1,3,3393
2020-08-27,2,4,1721
2020-08-28,1,1,2096
2020-08-29,2,2,2845
2020-08-30,1,3,2216
2020-08-31,2,4,3779
2020-09-01,1,1,4299
2020-09-02,2,2,2870
2020-09-03,1,3,4259
2020-09-04,2,4,4021
2020-09-05,1,1,1032
2020-09-06,2,2,3254
2020-09-07,1,3,1814
2020-09-08,2,4,2106
2020-09-09,1,1,1583
2020-09-10,2,2,1338
2020-09-11,1,3,4103
2020-09-12,2,4,2561
2020-09-13,1,1,4353
2020-09-14,2,2,3869
2020-09-15,1,3,4017
2020-09-16,2,4,4199
2020-09-17,1,1,4592
2020-09-18,2,2,3260
2020-09-19,1,3,1259
2020-09-20,2,4,4655
2020-09-21,1,1,4282
2020-09-22,2,2,3709
2020-09-23,1,3,4100
2020-09-24,2,4,2606
2020-09-25,1,1,4721
2020-09-26,2,2,3096
2020-09-27,1,3,3635
2020-09-28,2,4,4273
2020-09-29,1,1,1491
2020-09-30,2,2,3255
2020-10-01,1,3,1290
2020-10-02,2,4,4409
2020-10-03,1,1,3959
2020-10-04,2,2,4151
2020-10-05,1,3,1899
2020-10-06,2,4,4194
2020-10-07,1,1,1003
2020-10-08,2,2,4055
2020-10-09,1,3,1976
2020-10-10,2,4,4567
2020-10-11,1,1,3873
2020-10-12,2,2,1086
2020-10-13,1,3,2397
2020-10-14,2,4,1576
2020-10-15,1,1,2823
2020-10-16,2,2,1411
2020-10-17,1,3,1255
2020-10-18,2,4,3217
2020-10-19,1,1,2404
2020-10-20,2,2,1636
2020-10-21,1,3,4621
2020-10-22,2,4,2517
2020-10-23,1,1,2510
2020-10-24,2,2,2851
2020-10-25,1,3,2657
2020-10-26,2,4,1558
2020-10-27,1,1,2642
2020-10-28,2,2,3793
2020-10-29,1,3,2930
2020-10-30,2,4,3582
2020-10-31,1,1,1617
2020-11-01,2,2,1944
2020-11-02,1,3,2019
2020-11-03,2,4,4270
2020-11-04,1,1,4928
2020-11-05,2,2,1455
2020-11-06,1,3,4696
2020-11-07,2,4,4695
2020-11-08,1,1,1994
2020-11-09,2,2,2203
2020-11-10,1,3,2779
2020-11-11,2,4,4697
2020-11-12,1,1,2985
2020-11-13,2,2,3316
2020-11-14,1,3,1407
2020-11-15,2,4,1768
2020-11-16,1,1,1927
2020-11-17,2,2,2042
2020-11-18,1,3,1241
2020-11-19,2,4,3607
2020-11-20,1,1,1759
2020-11-21,2,2,4399
2020-11-22,1,3,3973
2020-11-23,2,4,3081
2020-11-24,1,1,2175
2020-11-25,2,2,1591
2020-11-26,1,3,3724
2020-11-27,2,4,2471
2020-11-28,1,1,3228
2020-11-29,2,2,3937
2020-11-30,1,3,4096
2020-12-01,2,4,2164
2020-12-02,1,1,2910
2020-12-03,2,2,1811
2020-12-04,1,3,1523
2020-12-05,2,4,3129
2020-12-06,1,1,2319
2020-12-07,2,2,3634
2020-12-08,1,3,3993
2020-12-09,2,4,3259
2020-12-10,1,1,1553
2020-12-11,2,2,2288
2020-12-12,1,3,4391
2020-12-13,2,4,1710
2020-12-14,1,1,4803
2020-12-15,2,2,2558
2020-12-16,1,3,2467
2020-12-17,2,4,2918
2020-12-18,1,1,3248
2020-12-19,2,2,4223
2020-12-20,1,3,4870
2020-12-21,2,4,2259
2020-12-22,1,1,1483
2020-12-23,2,2,2660
2020-12-24,1,3,4803
2020-12-25,2,4,2030
2020-12-26,1,1,1668
2020-12-27,2,2,3768
2020-12-28,1,3,1330
2020-12-29,2,4,2192
2020-12-30,1,1,4045
2020-12-31,2,2,1589
2021-01-01,1,3,4710
2021-01-02,2,4,2485
2021-01-03,1,1,3144
2021-01-04,2,2,2223
2021-01-05,1,3,3721
2021-01-06,2,4,2170
2021-01-07,1,1,2145
2021-01-08,2,2,4713
2021-01-09,1,3,3337
2021-01-10,2,4,3330
2021-01-11,1,1,3166
2021-01-12,2,2,3930
2021-01-13,1,3,1283
2021-01-14,2,4,1264
2021-01-15,1,1,1086
2021-01-16,2,2,1124
2021-01-17,1,3,4587
2021-01-18,2,4,4754
2021-01-19,1,1,3143
2021-01-20,2,2,4824
2021-01-21,1,3,4502
2021-01-22,2,4,3051
2021-01-23,1,1,3769
2021-01-24,2,2,3739
2021-01-25,1,3,2515
2021-01-26,2,4,2901
2021-01-27,1,1,1364
2021-01-28,2,2,1265
2021-01-29,1,3,3775
2021-01-30,2,4,4545
2021-01-31,1,1,4115
2021-02-01,2,2,3491
2021-02-02,1,3,1500
2021-02-03,2,4,1713
2021-02-04,1,1,3350
2021-02-05,2,2,3458
2021-02-06,1,3,2271
2021-02-07,2,4,2443
2021-02-08,1,1,2785
2021-02-09,2,2,4179
2021-02-10,1,3,2450
2021-02-11,2,4,3654
2021-02-12,1,1,4673
2021-02-13,2,2,3665
2021-02-14,1,3,1042
2021-02-15,2,4,2678
2021-02-16,1,1,1606
2021-02-17,2,2,1275
2021-02-18,1,3,1528
2021-02-19,2,4,2883
2021-02-20,1,1,3995
2021-02-21,2,2,1810
2021-02-22,1,3,3666
2021-02-23,2,4,4469
2021-02-24,1,1,1780
2021-02-25,2,2,3508
2021-02-26,1,3,2646
2021-02-27,2,4,1193
2021-02-28,1,1,1930
2021-03-01,2,2,3788
2021-03-02,1,3,3828
2021-03-03,2,4,2004
2021-03-04,1,1,2121
2021-03-05,2,2,4099
2021-03-06,1,3,1431
2021-03-07,2,4,1116
2021-03-08,1,1,2650
2021-03-09,2,2,4370
2021-03-10,1,3,1839
2021-03-11,2,4,4016
2021-03-12,1,1,4104
2021-03-13,2,2,3452
2021-03-14,1,3,2930
2021-03-15,2,4,2463
2021-03-16,1,1,4972
2021-03-17,2,2,4410
2021-03-18,1,3,2297
2021-03-19,2,4,1478
2021-03-20,1,1,4269
2021-03-21,2,2,4087
2021-03-22,1,3,2705
2021-03-23,2,4,3261
2021-03-24,1,1,4711
2021-03-25,2,2,4915
2021-03-26,1,3,1430
2021-03-27,2,4,1765
2021-03-28,1,1,1139
2021-03-29,2,2,2831
2021-03-30,1,3,2769
2021-03-31,2,4,3549
2021-04-01,1,1,2577
2021-04-02,2,2,1745
2021-04-03,1,3,1579
2021-04-04,2,4,2508
2021-04-05,1,1,3134
2021-04-06,2,2,1760
2021-04-07,1,3,4207
2021-04-08,2,4,3812
2021-04-09,1,1,1164
2021-04-10,2,2,1766
2021-04-11,1,3,3253
2021-04-12,2,4,3561
2021-04-13,1,1,2469
2021-04-14,2,2,2797
2021-04-15,1,3,2858
2021-04-16,2,4,2070
2021-04-17,1,1,4397
2021-04-18,2,2,2150
2021-04-19,1,3,3221
2021-04-20,2,4,1259
2021-04-21,1,1,2968
2021-04-22,2,2,2473
2021-04-23,1,3,3588
2021-04-24,2,4,4057
2021-04-25,1,1,1712
2021-04-26,2,2,4902
2021-04-27,1,3,4715
2021-04-28,2,4,3276
2021-04-29,1,1,1686
2021-04-30,2,2,4677
2021-05-01,1,3,4105
2021-05-02,2,4,3871
2021-05-03,1,1,4829
2021-05-04,2,2,3209
2021-05-05,1,3,1809
2021-05-06,2,4,2176
2021-05-07,1,1,4774
2021-05-08,2,2,2029
2021-05-09,1,3,1549
2021-05-10,2,4,3943
2021-05-11,1,1,1412
2021-05-12,2,2,4551
2021-05-13,1,3,3685
2021-05-14,2,4,1012
2021-05-15,1,1,4283
2021-05-16,2,2,4961
2021-05-17,1,3,2270
2021-05-18,2,4,2180
2021-05-19,1,1,4445
2021-05-20,2,2,2392
2021-05-21,1,3,2461
2021-05-22,2,4,4335
2021-05-23,1,1,1494
2021-05-24,2,2,4098
2021-05-25,1,3,3938
2021-05-26,2,4,3429
2021-05-27,1,1,3046
2021-05-28,2,2,3261
2021-05-29,1,3,1478
2021-05-30,2,4,3509
2021-05-31,1,1,2490
2021-06-01,2,2,2916
2021-06-02,1,3,2998
2021-06-03,2,4,3366
2021-06-04,1,1,3121
2021-06-05,2,2,4251
2021-06-06,1,3,4005
2021-06-07,2,4,1945
2021-06-08,1,1,3163
2021-06-09,2,2,1256
2021-06-10,1,3,2466
2021-06-11,2,4,3695
2021-06-12,1,1,3998
2021-06-13,2,2,2866
2021-06-14,1,3,4155
2021-06-15,2,4,4145
2021-06-16,1,1,1001
2021-06-17,2,2,1167
2021-06-18,1,3,3788
2021-06-19,2,4,4889
2021-06-20,1,1,3506
2021-06-21,2,2,2038
2021-06-22,1,3,3818
2021-06-23,2,4,4619
2021-06-24,1,1,4775
2021-06-25,2,2,2096
2021-06-26,1,3,4808
2021-06-27,2,4,3236
2021-06-28,1,1,3121
2021-06-29,2,2,3825
2021-06-30,1,3,1609
2021-07-01,2,4,1570
2021-07-02,1,1,1696
2021-07-03,2,2,2077
2021-07-04,1,3,4276
2021-07-05,2,4,1412
2021-07-06,1,1,3829
2021-07-07,2,2,3672
2021-07-08,1,3,3611
2021-07-09,2,4,1951
2021-07-10,1,1,2934
2021-07-11,2,2,1362
2021-07-12,1,3,4001
2021-07-13,2,4,1825
2021-07-14,1,1,2935
2021-07-15,2,2,1695
2021-07-16,1,3,1750
2021-07-17,2,4,2321
2021-07-18,1,1,4021
2021-07-19,2,2,1010
2021-07-20,1,3,4388
2021-07-21,2,4,1781
2021-07-22,1,1,4913
2021-07-23,2,2,3368
2021-07-24,1,3,4444
2021-07-25,2,4,4879
2021-07-26,1,1,2034
2021-07-27,2,2,1916
2021-07-28,1,3,4529
2021-07-29,2,4,3470
2021-07-30,1,1,3071
2021-07-31,2,2,2705
2021-08-01,1,3,2382
2021-08-02,2,4,1169
2021-08-03,1,1,1918
2021-08-04,2,2,2347
2021-08-05,1,3,3362
2021-08-06,2,4,2978
2021-08-07,1,1,1012
2021-08-08,2,2,3717
2021-08-09,1,3,3872
2021-08-10,2,4,4617
2021-08-11,1,1,1508
2021-08-12,2,2,4117
2021-08-13,1,3,2189
2021-08-14,2,4,2009
2021-08-15,1,1,2867
2021-08-16,2,2,4643
2021-08-17,1,3,4693
2021-08-18,2,4,3006
2021-08-19,1,1,3447
2021-08-20,2,2,2047
2021-08-21,1,3,3584
2021-08-22,2,4,1645
2021-08-23,1,1,4210
2021-08-24,2,2,4039
2021-08-25,1,3,2182
2021-08-26,2,4,2162
2021-08-27,1,1,4233
2021-08-28,2,2,4399
2021-08-29,1,3,1634
2021-08-30,2,4,2581
2021-08-31,1,1,3517
2021-09-01,2,2,4033
2021-09-02,1,3,2663
2021-09-03,2,4,2335
2021-09-04,1,1,1177
2021-09-05,2,2,1458
2021-09-06,1,3,1762
2021-09-07,2,4,1575
2021-09-08,1,1,2856
2021-09-09,2,2,3738
2021-09-10,1,3,2641
2021-09-11,2,4,3994
2021-09-12,1,1,3569
2021-09-13,2,2,2425
2021-09-14,1,3,2536
2021-09-15,2,4,4472
2021-09-16,1,1,4129
2021-09-17,2,2,2646
2021-09-18,1,3,4114
2021-09-19,2,4,4763
2021-09-20,1,1,4709
2021-09-21,2,2,1192
2021-09-22,1,3,2607
2021-09-23,2,4,3296
2021-09-24,1,1,2079
2021-09-25,2,2,4250
2021-09-26,1,3,4626
2021-09-27,2,4,4041
2021-09-28,1,1,2546
2021-09-29,2,2,4668
2021-09-30,1,3,4215
2021-10-01,2,4,3164
2021-10-02,1,1,1442
2021-10-03,2,2,1234
2021-10-04,1,3,2393
2021-10-05,2,4,3626
2021-10-06,1,1,2828
2021-10-07,2,2,3265
2021-10-08,1,3,1625
2021-10-09,2,4,3915
2021-10-10,1,1,4014
2021-10-11,2,2,3671
2021-10-12,1,3,2988
2021-10-13,2,4,2494
2021-10-14,1,1,2916
2021-10-15,2,2,1411
2021-10-16,1,3,1497
2021-10-17,2,4,4405
2021-10-18,1,1,3121
2021-10-19,2,2,3720
2021-10-20,1,3,1964
2021-10-21,2,4,4206
2021-10-22,1,1,4974
2021-10-23,2,2,2072
2021-10-24,1,3,1061
2021-10-25,2,4,3426
2021-10-26,1,1,3742
2021-10-27,2,2,4770
2021-10-28,1,3,3981
2021-10-29,2,4,2778
2021-10-30,1,1,4116
2021-10-31,2,2,4313
2021-11-01,1,3,1871
2021-11-02,2,4,4889
2021-11-03,1,1,2127
2021-11-04,2,2,2614
2021-11-05,1,3,4377
2021-11-06,2,4,1913
2021-11-07,1,1,2435
2021-11-08,2,2,4462
2021-11-09,1,3,1600
2021-11-10,2,4,2647
2021-11-11,1,1,2814
2021-11-12,2,2,2244
2021-11-13,1,3,3898
2021-11-14,2,4,4687
2021-11-15,1,1,4052
2021-11-16,2,2,3592
2021-11-17,1,3,1206
2021-11-18,2,4,2699
2021-11-19,1,1,4110
2021-11-20,2,2,3540
2021-11-21,1,3,4366
2021-11-22,2,4,4275
2021-11-23,1,1,3648
2021-11-24,2,2,1632
2021-11-25,1,3,4371
2021-11-26,2,4,3174
2021-11-27,1,1,4755
2021-11-28,2,2,2509
2021-11-29,1,3,1765
2021-11-30,2,4,4801
2021-12-01,1,1,2615
2021-12-02,2,2,2414
2021-12-03,1,3,1071
2021-12-04,2,4,4672
2021-12-05,1,1,4999
2021-12-06,2,2,2029
2021-12-07,1,3,4270
2021-12-08,2,4,4042
2021-12-09,1,1,4790
2021-12-10,2,2,3475
2021-12-11,1,3,4416
2021-12-12,2,4,1148
2021-12-13,1,1,3928
2021-12-14,2,2,1782
2021-12-15,1,3,4004
2021-12-16,2,4,2383
2021-12-17,1,1,3731
2021-12-18,2,2,2017
2021-12-19,1,3,3645
2021-12-20,2,4,1810
2021-12-21,1,1,2088
2021-12-22,2,2,4137
2021-12-23,1,3,2829
2021-12-24,2,4,1977
2021-12-25,1,1,2366
2021-12-26,2,2,4803
2021-12-27,1,3,4339
2021-12-28,2,4,3497
2021-12-29,1,1,4827
2021-12-30,2,2,3715
2021-12-31,1,3,4191
2022-01-01,2,4,3536
2022-01-02,1,1,3077
2022-01-03,2,2,1637
2022-01-04,1,3,3654
2022-01-05,2,4,1544
2022-01-06,1,1,1335
2022-01-07,2,2,4847
2022-01-08,1,3,1606
2022-01-09,2,4,1884
2022-01-10,1,1,2317
2022-01-11,2,2,1396
2022-01-12,1,3,3006
2022-01-13,2,4,1499
2022-01-14,1,1,4799
2022-01-15,2,2,2163
2022-01-16,1,3,2957
2022-01-17,2,4,1022
2022-01-18,1,1,3515
2022-01-19,2,2,4432
2022-01-20,1,3,4783
2022-01-21,2,4,2919
2022-01-22,1,1,4344
2022-01-23,2,2,2208
2022-01-24,1,3,3946
2022-01-25,2,4,3793
2022-01-26,1,1,3648
2022-01-27,2,2,3604
2022-01-28,1,3,4822
2022-01-29,2,4,1806
2022-01-30,1,1,3886
2022-01-31,2,2,3328
2022-02-01,1,3,3651
2022-02-02,2,4,3936
2022-02-03,1,1,3976
2022-02-04,2,2,1160
2022-02-05,1,3,4921
2022-02-06,2,4,1981
2022-02-07,1,1,1536
2022-02-08,2,2,4254
2022-02-09,1,3,2840
2022-02-10,2,4,4579
2022-02-11,1,1,2251
2022-02-12,2,2,2357
2022-02-13,1,3,1798
2022-02-14,2,4,1245
2022-02-15,1,1,1924
2022-02-16,2,2,3505
2022-02-17,1,3,4548
2022-02-18,2,4,2046
2022-02-19,1,1,4584
2022-02-20,2,2,2341
2022-02-21,1,3,1302
2022-02-22,2,4,4222
2022-02-23,1,1,1209
2022-02-24,2,2,2674
2022-02-25,1,3,1193
2022-02-26,2,4,2779
2022-02-27,1,1,3225
2022-02-28,2,2,1195
2022-03-01,1,3,3982
2022-03-02,2,4,2970
2022-03-03,1,1,2269
2022-03-04,2,2,3424
2022-03-05,1,3,2912
2022-03-06,2,4,1354
2022-03-07,1,1,4786
2022-03-08,2,2,1845
2022-03-09,1,3,4223
2022-03-10,2,4,2260
2022-03-11,1,1,4218
2022-03-12,2,2,2790
2022-03-13,1,3,1489
2022-03-14,2,4,1587
2022-03-15,1,1,3298
2022-03-16,2,2,3129
2022-03-17,1,3,1531
2022-03-18,2,4,4436
2022-03-19,1,1,2209
2022-03-20,2,2,1201
2022-03-21,1,3,1145
2022-03-22,2,4,2852
2022-03-23,1,1,4745
2022-03-24,2,2,3088
2022-03-25,1,3,1040
2022-03-26,2,4,4002
2022-03-27,1,1,3345
2022-03-28,2,2,4221
2022-03-29,1,3,1172
2022-03-30,2,4,1314
2022-03-31,1,1,1971
2022-04-01,2,2,2028
2022-04-02,1,3,4863
2022-04-03,2,4,3492
2022-04-04,1,1,4111
2022-04-05,2,2,3247
2022-04-06,1,3,1258
2022-04-07,2,4,2442
2022-04-08,1,1,4254
2022-04-09,2,2,4101
2022-04-10,1,3,4949
2022-04-11,2,4,4140
2022-04-12,1,1,4486
2022-04-13,2,2,4082
2022-04-14,1,3,4578
2022-04-15,2,4,3879
2022-04-16,1,1,4072
2022-04-17,2,2,4466
2022-04-18,1,3,4849
2022-04-19,2,4,3735
2022-04-20,1,1,1420
2022-04-21,2,2,1225
2022-04-22,1,3,1050
2022-04-23,2,4,2714
2022-04-24,1,1,4172
2022-04-25,2,2,4770
2022-04-26,1,3,4610
2022-04-27,2,4,3692
2022-04-28,1,1,2646
2022-04-29,2,2,2976
2022-04-30,1,3,4456
2022-05-01,2,4,4310
2022-05-02,1,1,4595
2022-05-03,2,2,1968
2022-05-04,1,3,1086
2022-05-05,2,4,1184
2022-05-06,1,1,3839
2022-05-07,2,2,3712
2022-05-08,1,3,2578
2022-05-09,2,4,1654
2022-05-10,1,1,3752
2022-05-11,2,2,3963
2022-05-12,1,3,3485
2022-05-13,2,4,3193
2022-05-14,1,1,2184
2022-05-15,2,2,3096
2022-05-16,1,3,2469
2022-05-17,2,4,2547
2022-05-18,1,1,4500
2022-05-19,2,2,3349
2022-05-20,1,3,4587
2022-05-21,2,4,1760
2022-05-22,1,1,4725
2022-05-23,2,2,2532
2022-05-24,1,3,1056
2022-05-25,2,4,2470
2022-05-26,1,1,2084
2022-05-27,2,2,1068
2022-05-28,1,3,1238
2022-05-29,2,4,3739
2022-05-30,1,1,4643
2022-05-31,2,2,1090
2022-06-01,1,3,3731
2022-06-02,2,4,3746
2022-06-03,1,1,1320
2022-06-04,2,2,1998
2022-06-05,1,3,3048
2022-06-06,2,4,2845
2022-06-07,1,1,4839
2022-06-08,2,2,2866
2022-06-09,1,3,2384
2022-06-10,2,4,2809
2022-06-11,1,1,3526
2022-06-12,2,2,3334
2022-06-13,1,3,3738
2022-06-14,2,4,4667
2022-06-15,1,1,2342
2022-06-16,2,2,3123
2022-06-17,1,3,4361
2022-06-18,2,4,1770
2022-06-19,1,1,4935
2022-06-20,2,2,3607
2022-06-21,1,3,1309
2022-06-22,2,4,4075
2022-06-23,1,1,3162
2022-06-24,2,2,2846
2022-06-25,1,3,2784
2022-06-26,2,4,1756
2022-06-27,1,1,1148
2022-06-28,2,2,3178
2022-06-29,1,3,3727
2022-06-30,2,4,1224
2022-07-01,1,1,2251
2022-07-02,2,2,2350
2022-07-03,1,3,1277
2022-07-04,2,4,3272
2022-07-05,1,1,1763
2022-07-06,2,2,3888
2022-07-07,1,3,3488
2022-07-08,2,4,4595
2022-07-09,1,1,1512
2022-07-10,2,2,4541
2022-07-11,1,3,4434
2022-07-12,2,4,2566
2022-07-13,1,1,4914
2022-07-14,2,2,4100
2022-07-15,1,3,1590
2022-07-16,2,4,1097
2022-07-17,1,1,2082
2022-07-18,2,2,1258
2022-07-19,1,3,2815
2022-07-20,2,4,1954
2022-07-21,1,1,4489
2022-07-22,2,2,1036
2022-07-23,1,3,4811
2022-07-24,2,4,1179
2022-07-25,1,1,4115
2022-07-26,2,2,3174
2022-07-27,1,3,4856
2022-07-28,2,4,2572
2022-07-29,1,1,2107
2022-07-30,2,2,2137
2022-07-31,1,3,3807
2022-08-01,2,4,4838
2022-08-02,1,1,4654
2022-08-03,2,2,3030
2022-08-04,1,3,1814
2022-08-05,2,4,2451
2022-08-06,1,1,4497
2022-08-07,2,2,1219
2022-08-08,1,3,1393
2022-08-09,2,4,1963
2022-08-10,1,1,4051
2022-08-11,2,2,4102
2022-08-12,1,3,3133
2022-08-13,2,4,3193
2022-08-14,1,1,4695
2022-08-15,2,2,3401
2022-08-16,1,3,2900
2022-08-17,2,4,4016
2022-08-18,1,1,2272
2022-08-19,2,2,1004
2022-08-20,1,3,1905
2022-08-21,2,4,4450
2022-08-22,1,1,2200
2022-08-23,2,2,1160
2022-08-24,1,3,1179
2022-08-25,2,4,1717
2022-08-26,1,1,1338
2022-08-27,2,2,3121
2022-08-28,1,3,2988
2022-08-29,2,4,4437
2022-08-30,1,1,3210
2022-08-31,2,2,4957
2022-09-01,1,3,3991
2022-09-02,2,4,2644
2022-09-03,1,1,1853
2022-09-04,2,2,3322
2022-09-05,1,3,1973
2022-09-06,2,4,3415
2022-09-07,1,1,2778
2022-09-08,2,2,2186
2022-09-09,1,3,4697
2022-09-10,2,4,3123
2022-09-11,1,1,2222
2022-09-12,2,2,4588
2022-09-13,1,3,2576
2022-09-14,2,4,2604
2022-09-15,1,1,1543
2022-09-16,2,2,1791
2022-09-17,1,3,4804
2022-09-18,2,4,2704
2022-09-19,1,1,4226
2022-09-20,2,2,4477
2022-09-21,1,3,2145
2022-09-22,2,4,4242
2022-09-23,1,1,3997
2022-09-24,2,2,4892
