date,store,dept,sales
2020-11-09,2,2,950
2020-11-10,1,3,403
2020-11-11,2,4,854
2020-11-12,1,1,515
2020-11-13,2,2,960
2020-11-14,1,3,781
2020-11-15,2,4,132
2020-11-16,1,1,848
2020-11-17,2,2,812
2020-11-18,1,3,482
2020-11-19,2,4,220
2020-11-20,1,1,168
2020-11-21,2,2,587
2020-11-22,1,3,471
2020-11-23,2,4,872
2020-11-24,1,1,340
2020-11-25,2,2,280
2020-11-26,1,3,495
2020-11-27,2,4,385
2020-11-28,1,1,995
2020-11-29,2,2,881
2020-11-30,1,3,330
2020-12-01,2,4,789
2020-12-02,1,1,370
2020-12-03,2,2,825
2020-12-04,1,3,918
2020-12-05,2,4,130
2020-12-06,1,1,621
2020-12-07,2,2,477
2020-12-08,1,3,317
2020-12-09,2,4,348
2020-12-10,1,1,997
2020-12-11,2,2,144
2020-12-12,1,3,489
2020-12-13,2,4,150
2020-12-14,1,1,510
2020-12-15,2,2,496
2020-12-16,1,3,456
2020-12-17,2,4,664
2020-12-18,1,1,655
2020-12-19,2,2,973
2020-12-20,1,3,117
2020-12-21,2,4,242
2020-12-22,1,1,886
2020-12-23,2,2,190
2020-12-24,1,3,981
2020-12-25,2,4,142
2020-12-26,1,1,509
2020-12-27,2,2,932
2020-12-28,1,3,682
2020-12-29,2,4,122
2020-12-30,1,1,661
2020-12-31,2,2,690
2021-01-01,1,3,317
2021-01-02,2,4,372
2021-01-03,1,1,632
2021-01-04,2,2,637
2021-01-05,1,3,150
2021-01-06,2,4,264
2021-01-07,1,1,103
2021-01-08,2,2,884
2021-01-09,1,3,529
2021-01-10,2,4,684
2021-01-11,1,1,612
2021-01-12,2,2,341
2021-01-13,1,3,911
2021-01-14,2,4,187
2021-01-15,1,1,497
2021-01-16,2,2,227
2021-01-17,1,3,942
2021-01-18,2,4,847
2021-01-19,1,1,251
2021-01-20,2,2,558
2021-01-21,1,3,447
2021-01-22,2,4,467
2021-01-23,1,1,984
2021-01-24,2,2,505
2021-01-25,1,3,822
2021-01-26,2,4,311
2021-01-27,1,1,505
2021-01-28,2,2,175
2021-01-29,1,3,704
2021-01-30,2,4,602
2021-01-31,1,1,197
2021-02-01,2,2,412
2021-02-02,1,3,789
2021-02-03,2,4,826
2021-02-04,1,1,465
2021-02-05,2,2,441
2021-02-06,1,3,995
2021-02-07,2,4,113
2021-02-08,1,1,421
2021-02-09,2,2,186
2021-02-10,1,3,370
2021-02-11,2,4,615
2021-02-12,1,1,975
2021-02-13,2,2,885
2021-02-14,1,3,829
2021-02-15,2,4,337
2021-02-16,1,1,383
2021-02-17,2,2,716
2021-02-18,1,3,294
2021-02-19,2,4,171
2021-02-20,1,1,977
2021-02-21,2,2,528
2021-02-22,1,3,572
2021-02-23,2,4,585
2021-02-24,1,1,124
2021-02-25,2,2,786
2021-02-26,1,3,997
2021-02-27,2,4,168
2021-02-28,1,1,780
2021-03-01,2,2,524
2021-03-02,1,3,839
2021-03-03,2,4,314
2021-03-04,1,1,278
2021-03-05,2,2,193
2021-03-06,1,3,851
2021-03-07,2,4,112
2021-03-08,1,1,891
2021-03-09,2,2,715
2021-03-10,1,3,835
2021-03-11,2,4,773
2021-03-12,1,1,552
2021-03-13,2,2,941
2021-03-14,1,3,972
2021-03-15,2,4,835
2021-03-16,1,1,739
2021-03-17,2,2,385
2021-03-18,1,3,355
2021-03-19,2,4,538
2021-03-20,1,1,589
2021-03-21,2,2,463
2021-03-22,1,3,804
2021-03-23,2,4,532
2021-03-24,1,1,127
2021-03-25,2,2,293
2021-03-26,1,3,143
2021-03-27,2,4,716
2021-03-28,1,1,929
2021-03-29,2,2,385
2021-03-30,1,3,474
2021-03-31,2,4,372
2021-04-01,1,1,243
2021-04-02,2,2,561
2021-04-03,1,3,925
2021-04-04,2,4,682
2021-04-05,1,1,779
2021-04-06,2,2,107
2021-04-07,1,3,830
2021-04-08,2,4,888
2021-04-09,1,1,991
2021-04-10,2,2,954
2021-04-11,1,3,147
2021-04-12,2,4,846
2021-04-13,1,1,961
2021-04-14,2,2,620
2021-04-15,1,3,954
2021-04-16,2,4,278
2021-04-17,1,1,666
2021-04-18,2,2,925
2021-04-19,1,3,877
2021-04-20,2,4,449
2021-04-21,1,1,810
2021-04-22,2,2,533
2021-04-23,1,3,579
2021-04-24,2,4,155
2021-04-25,1,1,253
2021-04-26,2,2,210
2021-04-27,1,3,688
2021-04-28,2,4,223
2021-04-29,1,1,461
2021-04-30,2,2,625
2021-05-01,1,3,581
2021-05-02,2,4,107
2021-05-03,1,1,893
2021-05-04,2,2,133
2021-05-05,1,3,574
2021-05-06,2,4,809
2021-05-07,1,1,702
2021-05-08,2,2,133
2021-05-09,1,3,426
2021-05-10,2,4,695
2021-05-11,1,1,295
2021-05-12,2,2,168
2021-05-13,1,3,847
2021-05-14,2,4,677
2021-05-15,1,1,329
2021-05-16,2,2,950
2021-05-17,1,3,438
2021-05-18,2,4,120
2021-05-19,1,1,454
2021-05-20,2,2,966
2021-05-21,1,3,717
2021-05-22,2,4,239
2021-05-23,1,1,787
2021-05-24,2,2,757
2021-05-25,1,3,322
2021-05-26,2,4,830
2021-05-27,1,1,738
2021-05-28,2,2,932
2021-05-29,1,3,618
2021-05-30,2,4,810
2021-05-31,1,1,707
2021-06-01,2,2,751
2021-06-02,1,3,383
2021-06-03,2,4,810
2021-06-04,1,1,886
2021-06-05,2,2,282
2021-06-06,1,3,125
2021-06-07,2,4,167
2021-06-08,1,1,129
2021-06-09,2,2,640
2021-06-10,1,3,372
2021-06-11,2,4,707
2021-06-12,1,1,383
2021-06-13,2,2,395
2021-06-14,1,3,553
2021-06-15,2,4,678
2021-06-16,1,1,648
2021-06-17,2,2,939
2021-06-18,1,3,995
2021-06-19,2,4,589
2021-06-20,1,1,266
2021-06-21,2,2,650
2021-06-22,1,3,459
2021-06-23,2,4,868
2021-06-24,1,1,563
2021-06-25,2,2,541
2021-06-26,1,3,737
2021-06-27,2,4,535
2021-06-28,1,1,312
2021-06-29,2,2,560
2021-06-30,1,3,748
2021-07-01,2,4,186
2021-07-02,1,1,432
2021-07-03,2,2,594
2021-07-04,1,3,261
2021-07-05,2,4,471
2021-07-06,1,1,539
2021-07-07,2,2,865
2021-07-08,1,3,993
2021-07-09,2,4,379
2021-07-10,1,1,872
2021-07-11,2,2,216
2021-07-12,1,3,456
2021-07-13,2,4,275
2021-07-14,1,1,769
2021-07-15,2,2,520
2021-07-16,1,3,773
2021-07-17,2,4,634
2021-07-18,1,1,790
2021-07-19,2,2,392
2021-07-20,1,3,845
2021-07-21,2,4,787
2021-07-22,1,1,243
2021-07-23,2,2,419
2021-07-24,1,3,426
2021-07-25,2,4,761
2021-07-26,1,1,996
2021-07-27,2,2,530
2021-07-28,1,3,475
2021-07-29,2,4,411
2021-07-30,1,1,447
2021-07-31,2,2,412
2021-08-01,1,3,860
2021-08-02,2,4,812
2021-08-03,1,1,295
2021-08-04,2,2,706
2021-08-05,1,3,311
2021-08-06,2,4,687
2021-08-07,1,1,281
2021-08-08,2,2,770
2021-08-09,1,3,436
2021-08-10,2,4,322
2021-08-11,1,1,893
2021-08-12,2,2,691
2021-08-13,1,3,475
2021-08-14,2,4,245
2021-08-15,1,1,819
2021-08-16,2,2,301
2021-08-17,1,3,316
2021-08-18,2,4,880
2021-08-19,1,1,523
2021-08-20,2,2,495
2021-08-21,1,3,679
2021-08-22,2,4,965
2021-08-23,1,1,656
2021-08-24,2,2,702
2021-08-25,1,3,291
2021-08-26,2,4,232
2021-08-27,1,1,221
2021-08-28,2,2,601
2021-08-29,1,3,886
2021-08-30,2,4,743
2021-08-31,1,1,795
2021-09-01,2,2,748
2021-09-02,1,3,959
2021-09-03,2,4,211
2021-09-04,1,1,427
2021-09-05,2,2,467
2021-09-06,1,3,733
2021-09-07,2,4,849
2021-09-08,1,1,492
2021-09-09,2,2,763
2021-09-10,1,3,553
2021-09-11,2,4,197
2021-09-12,1,1,439
2021-09-13,2,2,622
2021-09-14,1,3,962
2021-09-15,2,4,971
2021-09-16,1,1,859
2021-09-17,2,2,335
2021-09-18,1,3,501
2021-09-19,2,4,302
2021-09-20,1,1,912
2021-09-21,2,2,258
2021-09-22,1,3,601
2021-09-23,2,4,559
2021-09-24,1,1,593
2021-09-25,2,2,171
2021-09-26,1,3,121
2021-09-27,2,4,267
2021-09-28,1,1,175
2021-09-29,2,2,975
2021-09-30,1,3,315
2021-10-01,2,4,555
2021-10-02,1,1,536
2021-10-03,2,2,913
2021-10-04,1,3,990
2021-10-05,2,4,913
2021-10-06,1,1,457
2021-10-07,2,2,531
2021-10-08,1,3,343
2021-10-09,2,4,265
2021-10-10,1,1,570
2021-10-11,2,2,580
2021-10-12,1,3,640
2021-10-13,2,4,935
2021-10-14,1,1,693
2021-10-15,2,2,583
2021-10-16,1,3,276
2021-10-17,2,4,845
2021-10-18,1,1,392
2021-10-19,2,2,565
2021-10-20,1,3,162
2021-10-21,2,4,449
2021-10-22,1,1,675
2021-10-23,2,2,295
2021-10-24,1,3,700
2021-10-25,2,4,133
2021-10-26,1,1,730
2021-10-27,2,2,549
2021-10-28,1,3,185
2021-10-29,2,4,629
2021-10-30,1,1,721
2021-10-31,2,2,255
2021-11-01,1,3,114
2021-11-02,2,4,242
2021-11-03,1,1,612
2021-11-04,2,2,510
2021-11-05,1,3,541
2021-11-06,2,4,680
2021-11-07,1,1,661
2021-11-08,2,2,672
2021-11-09,1,3,187
2021-11-10,2,4,618
2021-11-11,1,1,778
2021-11-12,2,2,264
2021-11-13,1,3,913
2021-11-14,2,4,504
2021-11-15,1,1,167
2021-11-16,2,2,675
2021-11-17,1,3,170
2021-11-18,2,4,250
2021-11-19,1,1,688
2021-11-20,2,2,750
2021-11-21,1,3,981
2021-11-22,2,4,693
2021-11-23,1,1,849
2021-11-24,2,2,939
2021-11-25,1,3,711
2021-11-26,2,4,413
2021-11-27,1,1,463
2021-11-28,2,2,509
2021-11-29,1,3,648
2021-11-30,2,4,541
2021-12-01,1,1,714
2021-12-02,2,2,531
2021-12-03,1,3,754
2021-12-04,2,4,487
2021-12-05,1,1,205
2021-12-06,2,2,847
2021-12-07,1,3,713
2021-12-08,2,4,192
2021-12-09,1,1,867
2021-12-10,2,2,153
2021-12-11,1,3,887
2021-12-12,2,4,563
2021-12-13,1,1,632
2021-12-14,2,2,961
2021-12-15,1,3,279
2021-12-16,2,4,966
2021-12-17,1,1,640
2021-12-18,2,2,638
2021-12-19,1,3,836
2021-12-20,2,4,767
2021-12-21,1,1,383
2021-12-22,2,2,682
2021-12-23,1,3,511
2021-12-24,2,4,886
2021-12-25,1,1,519
2021-12-26,2,2,636
2021-12-27,1,3,947
2021-12-28,2,4,684
2021-12-29,1,1,338
2021-12-30,2,2,451
2021-12-31,1,3,442
2022-01-01,2,4,879
2022-01-02,1,1,344
2022-01-03,2,2,988
2022-01-04,1,3,184
2022-01-05,2,4,110
2022-01-06,1,1,740
2022-01-07,2,2,908
2022-01-08,1,3,259
2022-01-09,2,4,640
2022-01-10,1,1,331
2022-01-11,2,2,971
2022-01-12,1,3,510
2022-01-13,2,4,623
2022-01-14,1,1,395
2022-01-15,2,2,197
2022-01-16,1,3,714
2022-01-17,2,4,324
2022-01-18,1,1,911
2022-01-19,2,2,553
2022-01-20,1,3,848
2022-01-21,2,4,491
2022-01-22,1,1,851
2022-01-23,2,2,246
2022-01-24,1,3,909
2022-01-25,2,4,202
2022-01-26,1,1,955
2022-01-27,2,2,775
2022-01-28,1,3,269
2022-01-29,2,4,781
2022-01-30,1,1,586
2022-01-31,2,2,710
2022-02-01,1,3,396
2022-02-02,2,4,755
2022-02-03,1,1,209
2022-02-04,2,2,188
2022-02-05,1,3,839
2022-02-06,2,4,257
2022-02-07,1,1,471
2022-02-08,2,2,859
2022-02-09,1,3,928
2022-02-10,2,4,409
2022-02-11,1,1,161
2022-02-12,2,2,631
2022-02-13,1,3,737
2022-02-14,2,4,719
2022-02-15,1,1,342
2022-02-16,2,2,508
2022-02-17,1,3,177
2022-02-18,2,4,577
2022-02-19,1,1,684
2022-02-20,2,2,918
2022-02-21,1,3,895
2022-02-22,2,4,178
2022-02-23,1,1,515
2022-02-24,2,2,872
2022-02-25,1,3,610
2022-02-26,2,4,156
2022-02-27,1,1,171
2022-02-28,2,2,340
2022-03-01,1,3,843
2022-03-02,2,4,594
2022-03-03,1,1,262
2022-03-04,2,2,509
2022-03-05,1,3,255
2022-03-06,2,4,191
2022-03-07,1,1,946
2022-03-08,2,2,980
2022-03-09,1,3,695
2022-03-10,2,4,925
2022-03-11,1,1,623
2022-03-12,2,2,409
2022-03-13,1,3,522
2022-03-14,2,4,314
2022-03-15,1,1,614
2022-03-16,2,2,476
2022-03-17,1,3,354
2022-03-18,2,4,497
2022-03-19,1,1,830
2022-03-20,2,2,700
2022-03-21,1,3,862
2022-03-22,2,4,182
2022-03-23,1,1,123
2022-03-24,2,2,293
2022-03-25,1,3,258
2022-03-26,2,4,992
2022-03-27,1,1,175
2022-03-28,2,2,688
2022-03-29,1,3,632
2022-03-30,2,4,476
2022-03-31,1,1,227
2022-04-01,2,2,413
2022-04-02,1,3,478
2022-04-03,2,4,670
2022-04-04,1,1,970
2022-04-05,2,2,698
2022-04-06,1,3,749
2022-04-07,2,4,707
2022-04-08,1,1,555
2022-04-09,2,2,167
2022-04-10,1,3,698
2022-04-11,2,4,795
2022-04-12,1,1,969
2022-04-13,2,2,764
2022-04-14,1,3,317
2022-04-15,2,4,934
2022-04-16,1,1,969
2022-04-17,2,2,865
2022-04-18,1,3,894
2022-04-19,2,4,573
2022-04-20,1,1,300
2022-04-21,2,2,565
2022-04-22,1,3,978
2022-04-23,2,4,181
2022-04-24,1,1,327
2022-04-25,2,2,112
2022-04-26,1,3,785
2022-04-27,2,4,934
2022-04-28,1,1,220
2022-04-29,2,2,612
2022-04-30,1,3,239
2022-05-01,2,4,261
2022-05-02,1,1,991
2022-05-03,2,2,597
2022-05-04,1,3,493
2022-05-05,2,4,348
2022-05-06,1,1,238
2022-05-07,2,2,128
2022-05-08,1,3,300
2022-05-09,2,4,727
2022-05-10,1,1,637
2022-05-11,2,2,128
2022-05-12,1,3,941
2022-05-13,2,4,914
2022-05-14,1,1,537
2022-05-15,2,2,627
2022-05-16,1,3,763
2022-05-17,2,4,382
2022-05-18,1,1,776
2022-05-19,2,2,500
2022-05-20,1,3,226
2022-05-21,2,4,232
2022-05-22,1,1,721
2022-05-23,2,2,758
2022-05-24,1,3,874
2022-05-25,2,4,732
2022-05-26,1,1,423
2022-05-27,2,2,276
2022-05-28,1,3,312
2022-05-29,2,4,742
2022-05-30,1,1,533
2022-05-31,2,2,780
2022-06-01,1,3,267
2022-06-02,2,4,488
2022-06-03,1,1,787
2022-06-04,2,2,772
2022-06-05,1,3,298
2022-06-06,2,4,479
2022-06-07,1,1,712
2022-06-08,2,2,882
2022-06-09,1,3,252
2022-06-10,2,4,504
2022-06-11,1,1,310
2022-06-12,2,2,997
2022-06-13,1,3,302
2022-06-14,2,4,517
2022-06-15,1,1,398
2022-06-16,2,2,751
2022-06-17,1,3,416
2022-06-18,2,4,823
2022-06-19,1,1,187
2022-06-20,2,2,705
2022-06-21,1,3,846
2022-06-22,2,4,593
2022-06-23,1,1,686
2022-06-24,2,2,358
2022-06-25,1,3,517
2022-06-26,2,4,498
2022-06-27,1,1,367
2022-06-28,2,2,658
2022-06-29,1,3,587
2022-06-30,2,4,587
2022-07-01,1,1,176
2022-07-02,2,2,179
2022-07-03,1,3,449
2022-07-04,2,4,141
2022-07-05,1,1,924
2022-07-06,2,2,637
2022-07-07,1,3,497
2022-07-08,2,4,907
2022-07-09,1,1,963
2022-07-10,2,2,495
2022-07-11,1,3,472
2022-07-12,2,4,739
2022-07-13,1,1,635
2022-07-14,2,2,705
2022-07-15,1,3,585
2022-07-16,2,4,799
2022-07-17,1,1,291
2022-07-18,2,2,696
2022-07-19,1,3,876
2022-07-20,2,4,494
2022-07-21,1,1,476
2022-07-22,2,2,859
2022-07-23,1,3,492
2022-07-24,2,4,744
2022-07-25,1,1,284
2022-07-26,2,2,325
2022-07-27,1,3,936
2022-07-28,2,4,881
2022-07-29,1,1,447
2022-07-30,2,2,827
2022-07-31,1,3,583
2022-08-01,2,4,995
2022-08-02,1,1,563
2022-08-03,2,2,703
2022-08-04,1,3,873
2022-08-05,2,4,234
2022-08-06,1,1,209
2022-08-07,2,2,528
2022-08-08,1,3,706
2022-08-09,2,4,885
2022-08-10,1,1,958
2022-08-11,2,2,460
2022-08-12,1,3,153
2022-08-13,2,4,845
2022-08-14,1,1,487
2022-08-15,2,2,590
2022-08-16,1,3,754
2022-08-17,2,4,753
2022-08-18,1,1,801
2022-08-19,2,2,369
2022-08-20,1,3,981
2022-08-21,2,4,279
2022-08-22,1,1,297
2022-08-23,2,2,735
2022-08-24,1,3,998
2022-08-25,2,4,213
2022-08-26,1,1,956
2022-08-27,2,2,746
2022-08-28,1,3,279
2022-08-29,2,4,898
2022-08-30,1,1,971
2022-08-31,2,2,646
2022-09-01,1,3,778
2022-09-02,2,4,710
2022-09-03,1,1,971
2022-09-04,2,2,946
2022-09-05,1,3,417
2022-09-06,2,4,237
2022-09-07,1,1,602
2022-09-08,2,2,918
2022-09-09,1,3,358
2022-09-10,2,4,616
2022-09-11,1,1,115
2022-09-12,2,2,119
2022-09-13,1,3,264
2022-09-14,2,4,337
2022-09-15,1,1,834
2022-09-16,2,2,146
2022-09-17,1,3,781
2022-09-18,2,4,404
2022-09-19,1,1,216
2022-09-20,2,2,144
2022-09-21,1,3,331
2022-09-22,2,4,605
2022-09-23,1,1,412
2022-09-24,2,2,291
2022-09-25,1,3,700
2022-09-26,2,4,507
